#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.935308    0.935308           0
           2    0.914904    0.925106   0.0072139
           3     0.80764    0.885951   0.0323299
           4    0.871168    0.882255   0.0244577
           5     0.83348      0.8725   0.0214234
           6     0.85548    0.869663   0.0180397
           7    0.860466    0.868349   0.0155104
           8     0.89645    0.871862   0.0139636
           9    0.922104    0.877444   0.0134819
          10    0.903646    0.880065   0.0123857
          11    0.896158    0.881528   0.0113458
          12    0.930076    0.885573   0.0110982
          13     0.90126     0.88678   0.0103099
          14     0.93789    0.890431   0.0101994
          15    0.873254    0.889286  0.00958349
          16    0.940938    0.892514  0.00951273
          17    0.938306    0.895208  0.00932674
          18     0.83748       0.892  0.00934372
          19    0.953684    0.895247  0.00939904
          20    0.910912     0.89603  0.00896167
          21    0.943186    0.898276  0.00881176
          22    0.898734    0.898297  0.00841125
          23    0.927546    0.899568  0.00814111
          24    0.957192    0.901969  0.00814826
          25    0.832488     0.89919  0.00828276
          26     0.70743    0.891815   0.0107579
          27    0.930704    0.893255   0.0104554
          28      0.9302    0.894574   0.0101649
          29    0.917014    0.895348  0.00984384
          30    0.916384    0.896049  0.00954065
          31    0.782194    0.892377  0.00991465
          32    0.911168    0.892964  0.00962219
          33    0.958082    0.894937   0.0095308
          34      0.8686    0.894163  0.00928191
          35    0.948846    0.895725  0.00914726
          36    0.940264    0.896962  0.00897644
          37    0.939838    0.898121  0.00880832
          38    0.898712    0.898136  0.00857653
          39    0.830076    0.896391  0.00853233
          40    0.887226    0.896162  0.00832209
          41    0.958788     0.89769   0.0082581
          42    0.878606    0.897235  0.00807397
          43    0.745028    0.893696   0.0086273
          44    0.917126    0.894228  0.00844765
          45    0.926726     0.89495  0.00829073
          46     0.84377    0.893838  0.00818481
          47    0.837988    0.892649  0.00809647
          48    0.956522     0.89398   0.0080364
          49    0.948142    0.895085  0.00794804
          50    0.834578    0.893875  0.00788067
