#   N_BLOCK:  ACCEPTANCE:
           1    0.013439
           2    0.013805
           3   0.0152787
           4    0.014636
           5   0.0151232
           6   0.0147387
           7   0.0149809
           8   0.0152683
           9   0.0148583
          10   0.0148512
          11   0.0147782
          12   0.0146562
          13   0.0147283
          14   0.0145489
          15   0.0145233
          16   0.0142933
          17   0.0141542
          18   0.0141764
          19   0.0139202
          20   0.0139522
          21   0.0138504
          22   0.0137384
          23   0.0137044
          24   0.0135598
          25   0.0137758
          26   0.0139526
          27   0.0138904
          28   0.0138221
          29   0.0138923
          30   0.0138944
          31   0.0139983
          32   0.0139842
          33   0.0138409
          34   0.0138851
          35   0.0138287
          36   0.0137402
          37   0.0137226
          38   0.0136834
          39   0.0138183
          40    0.013856
          41   0.0137501
          42   0.0138098
          43   0.0137812
          44   0.0137259
          45   0.0137265
          46   0.0137193
          47   0.0138093
          48   0.0137255
          49   0.0136629
          50   0.0137621
