#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.084036    0.084036           0
           2    0.082742    0.083389 0.000457498
           3     0.07552    0.080766  0.00216328
           4    0.073838    0.079034  0.00220958
           5    0.071346   0.0774964  0.00223964
           6    0.068304   0.0759643  0.00233224
           7    0.075448   0.0758906  0.00200023
           8    0.081444   0.0765847  0.00186678
           9    0.073242   0.0762133   0.0016959
          10     0.06703    0.075295  0.00175745
          11    0.063506   0.0742233  0.00189652
          12    0.070202   0.0738882  0.00176783
          13    0.081806   0.0744972  0.00173359
          14    0.090468    0.075638  0.00194929
          15    0.059522   0.0745636  0.00209461
          16    0.076816   0.0747044  0.00196842
          17    0.063126   0.0740233  0.00196693
          18      0.0657   0.0735609  0.00191124
          19    0.070714   0.0734111  0.00181651
          20    0.073862   0.0734336  0.00172582
          21    0.059836   0.0727861  0.00176093
          22     0.04886   0.0716985  0.00198856
          23     0.09027    0.072506  0.00205952
          24    0.060626    0.072011  0.00203232
          25    0.068482   0.0718698  0.00195593
          26     0.04627   0.0708852  0.00211405
          27    0.073844   0.0709948  0.00203859
          28    0.058536   0.0705499  0.00201375
          29    0.086308   0.0710932  0.00201629
          30    0.068416    0.071004  0.00195106
          31      0.0561   0.0705232  0.00194646
          32    0.084854   0.0709711  0.00193646
          33    0.067994   0.0708808  0.00187988
          34    0.061426   0.0706028  0.00184504
          35    0.061054   0.0703299  0.00181239
          36    0.069692   0.0703122  0.00176213
          37    0.061816   0.0700826   0.0017294
          38    0.062768   0.0698901  0.00169457
          39    0.067158   0.0698201  0.00165257
          40     0.09214   0.0703781  0.00170285
          41    0.078228   0.0705695  0.00167205
          42    0.059444   0.0703046  0.00165309
          43    0.070206   0.0703023  0.00161465
          44    0.084042   0.0706146  0.00160786
          45    0.083478   0.0709004  0.00159734
          46    0.065754   0.0707886  0.00156653
          47    0.066538   0.0706981  0.00153581
          48     0.09026   0.0711057  0.00155694
          49     0.07726   0.0712313  0.00153023
          50    0.061306   0.0710328  0.00151244
