#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.449721    0.449721           0
           2    0.436683    0.443202  0.00460992
           3    0.438493    0.441632  0.00332981
           4     0.46751    0.448102   0.0061341
           5    0.413275    0.441136  0.00793064
           6    0.427477     0.43886  0.00692793
           7    0.409591    0.434679  0.00708859
           8    0.411645    0.431799  0.00676202
           9    0.443311    0.433078  0.00613046
          10    0.419878    0.431758  0.00565775
          11    0.425855    0.431222   0.0051688
          12    0.405208    0.429054  0.00517273
          13     0.42863    0.429021  0.00477493
          14    0.401358    0.427045  0.00482542
          15    0.417851    0.426432  0.00454249
          16    0.413581    0.425629  0.00432901
          17    0.442389    0.426615  0.00418512
          18    0.409515    0.425665    0.004059
          19    0.435426    0.426179  0.00387774
          20    0.426904    0.426215  0.00368403
          21    0.434512     0.42661  0.00352972
          22    0.435757    0.427026  0.00339368
          23     0.43404    0.427331   0.0032598
          24    0.430516    0.427463  0.00312667
          25    0.442328    0.428058  0.00305762
          26    0.419699    0.427737  0.00295688
          27    0.392362    0.426426  0.00312417
          28     0.41979    0.426189  0.00302157
          29    0.438842    0.426626  0.00294871
          30    0.421994    0.426471  0.00285445
          31    0.406803    0.425837  0.00283201
          32    0.395803    0.424898  0.00289486
          33    0.426963    0.424961  0.00280781
          34    0.449294    0.425677  0.00281497
          35    0.446155    0.426262  0.00279468
          36    0.418741    0.426053  0.00272485
          37    0.428504    0.426119  0.00265201
          38    0.412453    0.425759  0.00260649
          39    0.408695    0.425322  0.00257612
          40      0.4422    0.425744  0.00254604
          41     0.41915    0.425583  0.00248902
          42    0.429342    0.425672  0.00243136
          43    0.429454     0.42576  0.00237641
          44    0.421935    0.425673  0.00232399
          45    0.430857    0.425789   0.0022752
          46    0.420161    0.425666  0.00222902
          47    0.449836     0.42618  0.00224013
          48    0.443039    0.426532  0.00222082
          49    0.417913    0.426356  0.00218245
          50    0.424714    0.426323  0.00213905
