#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     25.2751     25.2751           0
           2     24.8985     25.0868    0.133122
           3     25.0817     25.0851    0.088759
           4     24.4653     24.9302    0.149789
           5     22.0807     24.3603    0.523629
           6     26.1158     24.6529    0.511618
           7     20.9945     24.1302    0.653008
           8     22.8075     23.9649    0.591944
           9     25.9808     24.1889    0.566967
          10     25.3391     24.3039    0.521807
          11     25.5893     24.4208    0.487279
          12      22.954     24.2985    0.461748
          13     25.2028     24.3681    0.431436
          14     21.7867     24.1837    0.438253
          15     23.6785       24.15    0.410328
          16     22.6209     24.0544    0.395655
          17     29.4197       24.37    0.482092
          18      20.985      24.182     0.49062
          19     24.0236     24.1737    0.464869
          20     24.4069     24.1853    0.441772
          21      26.392     24.2904    0.433052
          22     25.8328     24.3605    0.419005
          23     23.4933     24.3228     0.40248
          24      25.546     24.3738    0.388924
          25     26.7919     24.4705    0.385206
          26     25.6538      24.516     0.37307
          27     25.1022     24.5377    0.359884
          28     23.0553     24.4848    0.350903
          29     24.2992     24.4784    0.338862
          30     24.2957     24.4723    0.327621
          31     22.3054     24.4024    0.324423
          32     21.5905     24.3145    0.325968
          33     26.0301     24.3665    0.320209
          34     25.4218     24.3975    0.312292
          35     27.6692      24.491    0.317051
          36     23.5346     24.4644    0.309355
          37     24.3908     24.4625       0.301
          38     21.6321      24.388    0.302154
          39     22.5036     24.3397    0.298245
          40     26.9377     24.4046    0.297777
          41     25.4016     24.4289    0.291505
          42     23.6729     24.4109     0.28512
          43       24.19     24.4058    0.278535
          44     21.5873     24.3417    0.279474
          45     22.7872     24.3072     0.27539
          46     24.4619     24.3106    0.269424
          47      25.037      24.326    0.264134
          48     25.6897     24.3544    0.260155
          49     24.7594     24.3627    0.254977
          50     25.3081     24.3816    0.250577
