#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.03783     0.03783           0
           2    0.035036    0.036433 0.000987828
           3    0.037554   0.0368067 0.000725793
           4    0.034764    0.036296 0.000701353
           5     0.03348   0.0357328 0.000754035
           6     0.02566    0.034054  0.00165635
           7    0.033132   0.0339223  0.00142495
           8    0.037922   0.0344223  0.00133166
           9    0.042362   0.0353044   0.0014467
          10    0.037242   0.0354982  0.00131494
          11    0.029066   0.0349135  0.00131902
          12     0.03135   0.0346165  0.00124208
          13     0.03885   0.0349422  0.00118846
          14    0.037416   0.0351189  0.00111663
          15    0.029746   0.0347607  0.00109814
          16    0.041836   0.0352029  0.00111499
          17    0.035656   0.0352295  0.00104972
          18    0.031938   0.0350467   0.0010072
          19    0.033354   0.0349576 0.000958125
          20    0.029976   0.0347085 0.000942038
          21    0.028358   0.0344061  0.00094447
          22    0.020092   0.0337555  0.00110312
          23    0.036894   0.0338919  0.00106356
          24    0.038254   0.0340737  0.00103466
          25    0.033432    0.034048 0.000993592
          26     0.02119   0.0335535   0.0010714
          27     0.04095   0.0338274  0.00106617
          28     0.03002   0.0336914  0.00103673
          29    0.031204   0.0336057  0.00100452
          30     0.03209   0.0335551 0.000972306
          31    0.023522   0.0332315 0.000993348
          32    0.037868   0.0333764 0.000972815
          33     0.03012   0.0332777 0.000948328
          34    0.027592   0.0331105 0.000935064
          35    0.032606   0.0330961 0.000908458
          36    0.037292   0.0332126 0.000890669
          37     0.02836   0.0330815   0.0008762
          38    0.031918   0.0330508 0.000853677
          39    0.031478   0.0330105  0.00083274
          40     0.04103    0.033211 0.000835707
          41    0.034304   0.0332377 0.000815749
          42    0.027664    0.033105 0.000807048
          43    0.033836    0.033122 0.000788459
          44    0.040202   0.0332829 0.000786788
          45    0.038206   0.0333923 0.000776872
          46     0.03317   0.0333874 0.000759999
          47    0.036744   0.0334589 0.000747177
          48     0.04515   0.0337024 0.000770287
          49    0.032514   0.0336782 0.000754949
          50     0.03146   0.0336338 0.000741152
