#   N_BLOCK:  ACCEPTANCE:
           1    0.516947
           2    0.517511
           3    0.517581
           4    0.517478
           5    0.517389
           6    0.517636
           7    0.517334
           8    0.517366
           9    0.517463
          10     0.51749
          11    0.517521
          12    0.517361
          13     0.51731
          14    0.517365
          15     0.51743
          16    0.517391
          17    0.517476
          18    0.517461
          19    0.517404
          20    0.517401
          21    0.517394
          22    0.517357
          23    0.517408
          24    0.517447
          25    0.517452
          26    0.517482
          27    0.517509
          28    0.517495
          29    0.517428
          30    0.517484
          31    0.517458
          32    0.517488
          33     0.51743
          34     0.51743
          35    0.517415
          36    0.517394
          37    0.517378
          38    0.517369
          39    0.517351
          40    0.517356
          41    0.517323
          42    0.517286
          43    0.517286
          44     0.51728
          45    0.517269
          46    0.517287
          47    0.517298
          48    0.517346
          49    0.517327
          50    0.517346
