#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.215106    0.215106           0
           2    0.214617    0.214862 0.000172728
           3    0.213866     0.21453 0.000294499
           4    0.208229    0.212955  0.00138188
           5    0.213766    0.213117  0.00111499
           6    0.207619      0.2122  0.00125025
           7    0.215335    0.212648  0.00114905
           8    0.213204    0.212718  0.00100751
           9    0.212144    0.212654 0.000897579
          10    0.214583    0.212847 0.000828282
          11    0.212108     0.21278 0.000755699
          12    0.215215    0.212983 0.000719458
          13    0.215995    0.213214 0.000700439
          14    0.213115    0.213207 0.000650444
          15    0.211206    0.213074 0.000620617
          16    0.209701    0.212863 0.000616598
          17    0.213243    0.212885 0.000580733
          18    0.206199    0.212514 0.000656622
          19    0.214961    0.212643 0.000634568
          20    0.216385     0.21283 0.000629821
          21    0.212625     0.21282 0.000599905
          22    0.213051    0.212831 0.000572729
          23     0.20982      0.2127 0.000562589
          24    0.215839     0.21283 0.000554142
          25    0.210995    0.212757 0.000536816
          26    0.214245    0.212814 0.000519212
          27    0.207897    0.212632  0.00053096
          28     0.20789    0.212463 0.000538333
          29    0.214359    0.212528 0.000523726
          30    0.217015    0.212678 0.000527188
          31    0.211251    0.212632 0.000512187
          32    0.212651    0.212632 0.000496182
          33    0.211196    0.212589 0.000483053
          34    0.209584      0.2125 0.000476862
          35    0.219173    0.212691 0.000499898
          36    0.212935    0.212698 0.000486058
          37     0.21197    0.212678 0.000473319
          38    0.207676    0.212547 0.000478817
          39    0.215576    0.212624 0.000472798
          40    0.213711    0.212651 0.000461758
          41    0.208971    0.212562 0.000459139
          42      0.2094    0.212486 0.000454335
          43     0.21088    0.212449 0.000445302
          44    0.212206    0.212443 0.000435216
          45    0.213372    0.212464 0.000426033
          46     0.21558    0.212532 0.000422122
          47    0.214129    0.212566 0.000414506
          48    0.209206    0.212496 0.000411739
          49     0.21164    0.212478 0.000403706
          50    0.209908    0.212427 0.000398891
