#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.52177     1.52177           0
           2       1.462     1.49189   0.0211298
           3     1.50465     1.49614   0.0145085
           4     1.54372     1.50803   0.0149837
           5     1.51516     1.50946   0.0120545
           6     1.45857     1.50098   0.0126829
           7     1.52321     1.50415   0.0112616
           8     1.51016      1.5049   0.0098789
           9     1.53785     1.50856  0.00943516
          10     1.49655     1.50736  0.00856783
          11      1.5045      1.5071   0.0077929
          12     1.52871      1.5089   0.0073486
          13     1.55108     1.51215  0.00746517
          14      1.5517     1.51497  0.00744741
          15     1.47444     1.51227  0.00742506
          16     1.51129     1.51221  0.00696125
          17     1.47568     1.51006  0.00687541
          18     1.49398     1.50917  0.00655124
          19     1.52091     1.50979  0.00623555
          20     1.49691     1.50914  0.00595691
          21     1.48413     1.50795   0.0057911
          22     1.50245      1.5077  0.00553327
          23     1.47849     1.50643  0.00543644
          24     1.48945     1.50572  0.00525574
          25     1.50632     1.50575  0.00504557
          26     1.48429     1.50492  0.00491856
          27     1.51959     1.50546   0.0047663
          28     1.46036     1.50385  0.00486063
          29     1.50676     1.50395  0.00469405
          30     1.50603     1.50402   0.0045381
          31     1.51305     1.50431  0.00440103
          32     1.46228       1.503  0.00445522
          33     1.49393     1.50273  0.00432869
          34     1.51124     1.50298  0.00420861
          35     1.47584      1.5022  0.00415919
          36     1.47095     1.50133  0.00413328
          37     1.51497      1.5017  0.00403797
          38     1.46124     1.50064  0.00406967
          39     1.53174     1.50143   0.0040427
          40     1.52144     1.50193  0.00397246
          41     1.50422     1.50199  0.00387596
          42      1.5523     1.50319  0.00396447
          43     1.50606     1.50325  0.00387283
          44     1.50808     1.50336  0.00378637
          45     1.56411     1.50471  0.00393552
          46     1.47789     1.50413  0.00389294
          47      1.5198     1.50446  0.00382436
          48     1.48441     1.50405  0.00376743
          49     1.51935     1.50436  0.00370347
          50     1.51157      1.5045  0.00363221
