#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.483136   -0.483136           0
           2    -0.48126   -0.482198 0.000663266
           3   -0.482004   -0.482133 0.000445319
           4   -0.483932   -0.482583 0.000513029
           5   -0.483624   -0.482791 0.000450694
           6   -0.480148   -0.482351 0.000550258
           7   -0.485456   -0.482794  0.00062541
           8   -0.482764   -0.482791 0.000547245
           9   -0.482036   -0.482707 0.000492819
          10   -0.480948   -0.482531 0.000473879
          11   -0.482468   -0.482525 0.000430834
          12   -0.483492   -0.482606 0.000402395
          13    -0.48266    -0.48261 0.000371463
          14   -0.483576   -0.482679 0.000351282
          15   -0.481464   -0.482598 0.000337071
          16   -0.483408   -0.482649 0.000319784
          17   -0.481876   -0.482603 0.000304185
          18   -0.482428   -0.482593 0.000287441
          19   -0.483368   -0.482634 0.000275189
          20   -0.483208   -0.482663 0.000262921
          21   -0.482436   -0.482652 0.000250623
          22   -0.484876   -0.482753 0.000258817
          23    -0.48154     -0.4827 0.000252881
          24   -0.482852   -0.482707 0.000242423
          25   -0.481804   -0.482671   0.0002354
          26   -0.481248   -0.482616 0.000232618
          27   -0.481516   -0.482575 0.000227541
          28    -0.48218   -0.482561 0.000219852
          29   -0.483452   -0.482592 0.000214407
          30   -0.479852     -0.4825 0.000225873
          31   -0.483776   -0.482542 0.000222304
          32   -0.481836    -0.48252 0.000216447
          33    -0.48396   -0.482563 0.000214245
          34   -0.482444    -0.48256 0.000207972
          35   -0.482596   -0.482561 0.000202033
          36   -0.482564   -0.482561 0.000196421
          37   -0.482668   -0.482564 0.000191133
          38   -0.482196   -0.482554 0.000186348
          39   -0.483032   -0.482566 0.000181973
          40   -0.481736   -0.482546 0.000178603
          41   -0.485276   -0.482612  0.00018625
          42   -0.483668   -0.482637 0.000183504
          43   -0.483496   -0.482657  0.00018032
          44   -0.482464   -0.482653 0.000176276
          45    -0.48196   -0.482637 0.000173029
          46   -0.481096   -0.482604 0.000172482
          47   -0.483056   -0.482614  0.00016908
          48   -0.480792   -0.482576 0.000169763
          49    -0.48352   -0.482595 0.000167389
          50   -0.481736   -0.482578  0.00016492
