#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.76384    -0.76384           0
           2   -0.758828   -0.761334  0.00177201
           3     -0.7609   -0.761189  0.00118723
           4   -0.764044   -0.761903   0.0010839
           5   -0.761832   -0.761889 0.000867214
           6   -0.760812   -0.761709 0.000741016
           7   -0.763608   -0.761981 0.000682996
           8   -0.759248   -0.761639 0.000677672
           9   -0.759512   -0.761403 0.000642264
          10     -0.7613   -0.761392  0.00057812
          11     -0.7625   -0.761493  0.00053426
          12   -0.764548   -0.761748 0.000547039
          13     -0.7622   -0.761782 0.000506064
          14   -0.764208   -0.761956 0.000498693
          15   -0.759928   -0.761821 0.000483421
          16    -0.76198   -0.761831  0.00045331
          17   -0.760664   -0.761762 0.000431807
          18     -0.7621   -0.761781 0.000408226
          19   -0.761384    -0.76176 0.000387274
          20   -0.760296   -0.761687 0.000374762
          21   -0.762688   -0.761734 0.000359938
          22   -0.764004   -0.761837 0.000358057
          23   -0.760904   -0.761797 0.000344782
          24   -0.758396   -0.761655 0.000358354
          25    -0.76444   -0.761767 0.000360918
          26   -0.760344   -0.761712  0.00035116
          27   -0.763104   -0.761763 0.000341918
          28   -0.761396    -0.76175 0.000329958
          29   -0.761396   -0.761738 0.000318807
          30    -0.76206   -0.761749  0.00030836
          31   -0.763068   -0.761791 0.000301335
          32   -0.763756   -0.761853 0.000298107
          33     -0.7606   -0.761815 0.000291481
          34   -0.761248   -0.761798 0.000283384
          35   -0.762372   -0.761815 0.000275761
          36   -0.761408   -0.761803 0.000268333
          37   -0.760624   -0.761771 0.000262966
          38   -0.763924   -0.761828 0.000262077
          39    -0.76162   -0.761823 0.000255411
          40   -0.761228   -0.761808 0.000249458
          41   -0.762964   -0.761836 0.000244962
          42   -0.762684   -0.761856 0.000239961
          43   -0.759452     -0.7618 0.000240806
          44   -0.760184   -0.761764 0.000238118
          45    -0.76116    -0.76175 0.000233204
          46   -0.759668   -0.761705 0.000232486
          47   -0.760636   -0.761682 0.000228649
          48   -0.759676    -0.76164 0.000227673
          49   -0.763964   -0.761688 0.000227912
          50    -0.76148   -0.761684 0.000223391
