#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.54058     7.54058           0
           2      7.0706     7.30559    0.166166
           3     7.74873      7.4533    0.163761
           4     6.89615     7.31401    0.172151
           5     7.32034     7.31528    0.137725
           6     7.55543     7.35531    0.120447
           7     7.22434      7.3366    0.104683
           8     7.60457     7.37009   0.0968087
           9     7.41632     7.37523   0.0861883
          10     6.89884     7.32759   0.0897748
          11     7.42536     7.33648   0.0820522
          12     7.57118     7.35604   0.0775105
          13     6.77446      7.3113   0.0834657
          14     7.97093     7.35842   0.0898233
          15     7.02848     7.33642   0.0864862
          16     7.31803     7.33527   0.0810885
          17     7.40102     7.33914   0.0764108
          18     7.18038     7.33032    0.072673
          19     7.48786     7.33861   0.0693195
          20     6.55853     7.29961   0.0760391
          21     7.09741     7.28998   0.0730253
          22      7.1669     7.28438   0.0699199
          23     7.35496     7.28745   0.0669472
          24     7.11605     7.28031   0.0645375
          25     7.42645     7.28616   0.0622202
          26     7.67413     7.30108   0.0615905
          27      7.6415     7.31369   0.0605861
          28     7.31708     7.31381   0.0584224
          29      6.8832     7.29896   0.0582643
          30      7.5213     7.30637   0.0567916
          31     8.00088     7.32877   0.0592139
          32     7.81806     7.34407   0.0593047
          33     6.87255     7.32978   0.0592039
          34     7.45305      7.3334   0.0575735
          35     7.47721     7.33751    0.056075
          36     7.28559     7.33607   0.0545359
          37     7.28064     7.33457   0.0530825
          38     7.59276     7.34137   0.0521186
          39      6.9184     7.33052   0.0518984
          40     7.79161     7.34205   0.0518653
          41     7.72842     7.35147   0.0514493
          42     7.61788     7.35781   0.0506138
          43     7.48578     7.36079   0.0495241
          44     7.29038     7.35919   0.0484244
          45     7.05686     7.35247   0.0478121
          46     6.86777     7.34193   0.0479198
          47     7.43889       7.344   0.0469446
          48     7.43033      7.3458    0.046001
          49      7.5032     7.34901   0.0451742
          50     7.51067     7.35224   0.0443863
