#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.70164     5.70164           0
           2     5.91445     5.80804     0.07524
           3       6.059     5.89169    0.084742
           4     5.48739     5.79062    0.108175
           5     5.40039     5.71257    0.111185
           6     5.79761     5.72674   0.0935532
           7     5.46444     5.68927   0.0873712
           8     5.32844     5.64417   0.0873191
           9     5.61797     5.64126   0.0776655
          10      5.1385     5.59098   0.0846213
          11     5.46665     5.57968   0.0776797
          12     5.51665     5.57443   0.0713838
          13     5.34316     5.55664   0.0680733
          14     5.62335      5.5614   0.0633775
          15     5.35865     5.54789   0.0605765
          16     5.61958     5.55237   0.0569559
          17     5.77453     5.56544   0.0550845
          18     5.67797     5.57169   0.0523778
          19     5.86249     5.58699   0.0518091
          20     5.34705       5.575   0.0505886
          21     5.34335     5.56396   0.0493676
          22     5.69144     5.56976   0.0474624
          23     5.77534      5.5787   0.0462329
          24     5.29017     5.56668   0.0458429
          25     5.29724      5.5559   0.0452583
          26     5.78266     5.56462     0.04435
          27     5.45486     5.56055   0.0428933
          28     5.75201     5.56739   0.0419028
          29     5.33675     5.55944   0.0412057
          30      5.6674     5.56304    0.039989
          31     5.99752     5.57705   0.0410819
          32     5.46723     5.57362   0.0399412
          33     5.34795     5.56678   0.0393119
          34     5.49403     5.56464   0.0382139
          35     5.97629      5.5764   0.0388899
          36     5.48246     5.57379    0.037897
          37     5.68791     5.57688   0.0369981
          38     5.72736     5.58084   0.0362358
          39     5.36599     5.57533   0.0357229
          40     5.74925     5.57968   0.0350935
          41     5.92572     5.58812   0.0352378
          42      5.7893     5.59291   0.0347229
          43     5.79265     5.59755   0.0342247
          44     5.50347     5.59541   0.0335136
          45     5.78424     5.59961   0.0330305
          46     5.44518     5.59625   0.0324826
          47     5.57164     5.59573   0.0317957
          48     5.42982     5.59227   0.0313206
          49     5.76243     5.59575   0.0308733
          50     5.92157     5.60226   0.0309359
