#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.725708   -0.725708           0
           2   -0.720632    -0.72317  0.00179464
           3   -0.723404   -0.723248  0.00119812
           4   -0.724272   -0.723504 0.000925534
           5    -0.72192   -0.723187 0.000792794
           6   -0.719824   -0.722627 0.000835647
           7   -0.722916   -0.722668  0.00071729
           8    -0.71826   -0.722117 0.000812138
           9    -0.71942   -0.721817 0.000775218
          10   -0.719136   -0.721549 0.000742621
          11   -0.721472   -0.721542 0.000675143
          12   -0.719896   -0.721405 0.000632665
          13   -0.721624   -0.721422 0.000584222
          14   -0.720752   -0.721374 0.000544448
          15   -0.720996   -0.721349 0.000508734
          16   -0.722848   -0.721443 0.000485491
          17   -0.721208   -0.721429 0.000457128
          18   -0.721528   -0.721434 0.000431766
          19   -0.722056   -0.721467 0.000410279
          20    -0.72014   -0.721401 0.000395094
          21   -0.721552   -0.721408 0.000376345
          22   -0.723312   -0.721494 0.000369058
          23   -0.722008   -0.721517 0.000353687
          24   -0.719576   -0.721436 0.000348071
          25   -0.720552     -0.7214 0.000335939
          26   -0.720428   -0.721363 0.000325093
          27   -0.721432   -0.721366 0.000313063
          28   -0.720572   -0.721337 0.000303162
          29    -0.72288    -0.72139 0.000297339
          30   -0.722672   -0.721433  0.00029048
          31   -0.722004   -0.721452 0.000281693
          32   -0.721276   -0.721446 0.000272943
          33   -0.719052   -0.721374 0.000274145
          34   -0.719272   -0.721312 0.000272961
          35   -0.722592   -0.721348 0.000267602
          36   -0.718352   -0.721265 0.000272805
          37   -0.722324   -0.721294 0.000266929
          38   -0.722496   -0.721325 0.000261773
          39   -0.719228   -0.721272 0.000260526
          40   -0.721484   -0.721277 0.000254067
          41   -0.720748   -0.721264 0.000248198
          42   -0.722472   -0.721293 0.000243949
          43    -0.71854   -0.721229 0.000246533
          44   -0.720336   -0.721208 0.000241763
          45   -0.719808   -0.721177 0.000238385
          46      -0.722   -0.721195 0.000233873
          47   -0.719848   -0.721167 0.000230647
          48   -0.720756   -0.721158    0.000226
          49   -0.723928   -0.721215 0.000228349
          50   -0.720484     -0.7212 0.000224249
