#     BLOCK:     DISTANCE:    BLOCK_GOFR:    GOFR_AVE:      ERROR:
           2     1.78265    0.854316    0.854619 0.000214129
           2      1.8083     0.89353    0.895625  0.00148153
           2     1.83395    0.941228    0.942599 0.000969312
           2      1.8596     0.97828    0.980116  0.00129813
           2     1.88525     1.01803     1.01962  0.00112445
           2      1.9109     1.05513     1.05774  0.00184405
           2     1.93655     1.08976     1.09264  0.00203655
           2      1.9622     1.12646     1.12885  0.00168822
           2     1.98785      1.1606     1.15818  0.00171176
           2      2.0135     1.17594     1.18022  0.00302997
           2     2.03915     1.19614       1.199  0.00201752
           2      2.0648     1.20803     1.20864 0.000432371
           2     2.09045     1.21366     1.21562  0.00138401
           2      2.1161     1.20687     1.20753 0.000469499
           2     2.14174     1.19268     1.19156 0.000793759
           2     2.16739     1.16927     1.17063 0.000958855
           2     2.19304     1.14904     1.14613  0.00205367
           2     2.21869     1.12597     1.12169  0.00302774
           2     2.24434     1.09495     1.09235  0.00183686
           2     2.26999     1.06708      1.0658 0.000903703
           2     2.29564     1.03365     1.03263 0.000717882
           2     2.32129     1.01277     1.01118  0.00112808
           2     2.34694    0.986993    0.986502  0.00034757
           2     2.37259    0.970879    0.967567  0.00234188
           2     2.39824    0.948577    0.947612 0.000682495
           2     2.42389    0.930112    0.929859 0.000178916
           2     2.44954    0.923324    0.920317  0.00212597
           2     2.47519    0.907991    0.910058  0.00146131
           2     2.50084    0.899256    0.899277 1.46153e-05
           2     2.52649    0.891904    0.889683  0.00157043
           2     2.55214    0.886575    0.889381   0.0019842
           3   0.0128248           0           0           0
           3   0.0384745           0           0           0
           3   0.0641241           0           0           0
           3   0.0897737           0           0           0
           3    0.115423           0           0           0
           3    0.141073           0           0           0
           3    0.166723           0           0           0
           3    0.192372           0           0           0
           3    0.218022           0           0           0
           3    0.243672           0           0           0
           3    0.269321           0           0           0
           3    0.294971           0           0           0
           3     0.32062           0           0           0
           3     0.34627           0           0           0
           3     0.37192           0           0           0
           3    0.397569           0           0           0
           3    0.423219           0           0           0
           3    0.448869           0           0           0
           3    0.474518           0           0           0
           3    0.500168           0           0           0
           3    0.525818           0           0           0
           3    0.551467           0           0           0
           3    0.577117           0           0           0
           3    0.602767           0           0           0
           3    0.628416           0           0           0
           3    0.654066           0           0           0
           3    0.679715           0           0           0
           3    0.705365           0           0           0
           3    0.731015           0           0           0
           3    0.756664           0           0           0
           3    0.782314           0           0           0
           3    0.807964           0           0           0
           3    0.833613           0           0           0
           3    0.859263           0 1.94523e-05 1.58827e-05
           3    0.884913  0.00130221  0.00135724 0.000187242
           3    0.910562   0.0213065   0.0238356   0.0010593
           3    0.936212    0.161437    0.166413  0.00203759
           3    0.961861    0.556412    0.565716  0.00446994
           3    0.987511     1.18119     1.19774  0.00709103
           3     1.01316     1.84154      1.8593  0.00871105
           3     1.03881     2.33017     2.33344  0.00481939
           3     1.06446     2.55758     2.55508  0.00263769
           3     1.09011     2.55549     2.54063  0.00732297
           3     1.11576       2.419     2.41122  0.00317671
           3     1.14141     2.19497     2.19235  0.00115828
           3     1.16706     1.98126     1.97693  0.00285302
           3     1.19271     1.77083     1.76344  0.00310351
           3     1.21836     1.56257     1.55741  0.00359262
           3     1.24401     1.39973     1.39346  0.00257009
           3     1.26966     1.24515     1.24141    0.002553
           3     1.29531     1.13213     1.12582  0.00317629
           3     1.32096     1.02927     1.02495  0.00214919
           3     1.34661    0.952941    0.943957  0.00368184
           3     1.37226    0.878027    0.872284  0.00243873
           3     1.39791    0.812726     0.81718  0.00186152
           3     1.42355    0.772371     0.77388   0.0037809
           3      1.4492    0.738318     0.73834 0.000667407
           3     1.47485    0.708014    0.709529 0.000640655
           3      1.5005    0.684533     0.68855  0.00164581
           3     1.52615    0.674322    0.678199  0.00173317
           3      1.5518    0.662557    0.669204  0.00277599
           3     1.57745    0.668367    0.670857  0.00158925
           3      1.6031    0.669065    0.673871  0.00206565
           3     1.62875    0.682669    0.687583  0.00309527
           3      1.6544    0.694814    0.703017  0.00338045
           3     1.68005    0.723564    0.724502 0.000384306
           3      1.7057    0.742023    0.750513  0.00351728
