#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     2.01709     2.00964  0.00330353
         169     2.00773     2.00963  0.00328401
         170     2.02304     2.00971  0.00326563
         171     2.02536      2.0098  0.00324782
         172     2.00233     2.00976  0.00322923
         173     1.99707     2.00969  0.00321139
         174     1.97608     2.00949  0.00319874
         175     1.96828     2.00926  0.00318912
         176      1.9792     2.00909  0.00317557
         177     1.96046     2.00881  0.00316949
         178     1.96706     2.00858  0.00316035
         179     1.93476     2.00816  0.00316949
         180     1.96134      2.0079  0.00316254
         181     1.97677     2.00773  0.00314974
         182      1.9753     2.00755  0.00313747
         183     1.98522     2.00743   0.0031227
         184     1.95863     2.00717  0.00311698
         185     1.94934     2.00685  0.00311576
         186     1.96381     2.00662  0.00310759
         187     1.97503     2.00645  0.00309556
         188     1.98167     2.00632   0.0030819
         189     1.97761     2.00617  0.00306934
         190     1.99156     2.00609  0.00305415
         191     2.00816      2.0061  0.00303817
         192     2.00737     2.00611  0.00302236
         193     2.00066     2.00608  0.00300683
         194     1.99761     2.00604  0.00299165
         195     2.02125     2.00612  0.00297732
         196     1.99183     2.00604  0.00296302
         197     1.97526     2.00589   0.0029521
         198     1.99139     2.00581   0.0029381
         199      2.0179     2.00588  0.00292396
         200     1.98955     2.00579  0.00291048
         201     1.96259     2.00558  0.00290393
         202     1.99158     2.00551  0.00289038
         203     2.03111     2.00564  0.00287889
         204     2.07537     2.00598    0.002885
         205     2.11431     2.00651  0.00291892
         206     2.08688      2.0069  0.00293072
         207     2.05673     2.00714  0.00292643
         208     2.05398     2.00736  0.00292102
         209     2.06129     2.00762  0.00291841
         210     2.05268     2.00783  0.00291239
         211      2.0135     2.00786  0.00289872
         212      2.0135     2.00789  0.00288516
         213     2.03649     2.00802  0.00287474
         214     2.01962     2.00808  0.00286182
         215     1.98525     2.00797  0.00285048
         216     1.99842     2.00793  0.00283762
         217      2.0041     2.00791   0.0028246
         218     1.96737     2.00772  0.00281776
         219     1.95763     2.00749  0.00281416
         220     1.95736     2.00727  0.00281058
         221     1.97709     2.00713  0.00280118
         222     2.01939     2.00718  0.00278911
         223     2.03299      2.0073    0.002779
         224     2.01011     2.00731  0.00276662
         225     2.02954     2.00741  0.00275609
         226     2.05756     2.00763  0.00275281
         227     2.06998     2.00791  0.00275435
         228     2.05307     2.00811  0.00274939
         229     2.05761     2.00832  0.00274587
         230     2.07259      2.0086  0.00274811
         231     2.04088     2.00874  0.00273976
         232     2.03364     2.00885  0.00273005
         233     2.04829     2.00902  0.00272358
         234     2.01883     2.00906  0.00271226
         235     2.00773     2.00905  0.00270073
         236     1.99624       2.009  0.00268983
         237     1.99059     2.00892   0.0026796
         238     2.03178     2.00902  0.00267006
         239     2.02302     2.00908  0.00265953
         240     2.04802     2.00924   0.0026534
         241     2.06641     2.00948  0.00265297
         242      2.0528     2.00966  0.00264804
         243     2.01114     2.00966  0.00263715
         244     1.98929     2.00958  0.00262766
         245     1.98064     2.00946  0.00261959
         246     2.02637     2.00953  0.00260984
         247     2.07304     2.00979  0.00261191
         248     2.08306     2.01008  0.00261804
         249      2.0816     2.01037  0.00262324
         250     2.05551     2.01055  0.00261895
