#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.457332   -0.457332           0
           2   -0.453473   -0.455402  0.00136405
           3   -0.439317   -0.450041  0.00447143
           4   -0.412393   -0.440629  0.00881392
           5   -0.402881   -0.433079  0.00976291
           6   -0.387746   -0.425524   0.0106659
           7   -0.418536   -0.424525  0.00918878
           8    -0.45032    -0.42775  0.00858726
           9   -0.462533   -0.431615  0.00845821
          10   -0.457854   -0.434239  0.00800907
          11   -0.434021   -0.434219    0.007281
          12   -0.428941   -0.433779  0.00668752
          13   -0.415258   -0.432354  0.00632303
          14   -0.378003   -0.428472  0.00696192
          15   -0.376694    -0.42502  0.00730358
          16   -0.381302   -0.422288  0.00734046
          17   -0.392265   -0.420522  0.00711794
          18   -0.419764    -0.42048  0.00672262
          19   -0.415699   -0.420228   0.0063735
          20    -0.42761   -0.420597  0.00606551
          21   -0.424744   -0.420795  0.00577989
          22   -0.461981   -0.422667  0.00581246
          23   -0.472935   -0.424852   0.0059565
          24   -0.439934   -0.425481  0.00574136
          25    -0.44385   -0.426215  0.00555853
          26   -0.463176   -0.427637  0.00552352
          27   -0.453597   -0.428599  0.00540198
          28   -0.433074   -0.428758  0.00521142
          29    -0.44371   -0.429274  0.00505715
          30   -0.475387   -0.430811  0.00511685
          31   -0.490244   -0.432728   0.0052988
          32   -0.468598   -0.433849  0.00525043
          33   -0.477973   -0.435186  0.00525883
          34   -0.462665   -0.435994  0.00516589
          35    -0.42968   -0.435814  0.00502144
          36   -0.405417    -0.43497  0.00495244
          37   -0.384979   -0.433619  0.00499949
          38   -0.395801   -0.432623  0.00496599
          39   -0.379849    -0.43127  0.00501964
          40   -0.369419   -0.429724  0.00512678
          41   -0.354571   -0.427891  0.00531934
          42    -0.34596    -0.42594  0.00553884
          43   -0.365863   -0.424543  0.00558346
          44   -0.352932   -0.422915  0.00568883
          45   -0.330931   -0.420871  0.00591827
          46   -0.337363   -0.419056  0.00606166
          47   -0.329839   -0.417158  0.00622281
          48   -0.348856   -0.415735  0.00625374
          49   -0.373253   -0.414868  0.00618592
          50   -0.372452   -0.414019  0.00612009
          51   -0.357179   -0.412905  0.00610073
          52   -0.332123   -0.411351  0.00617804
          53   -0.322452   -0.409674  0.00628505
          54   -0.326614   -0.408136  0.00635409
          55   -0.351946   -0.407114  0.00632016
          56   -0.369611   -0.406445  0.00624268
          57   -0.384061   -0.406052   0.0061455
          58   -0.404675   -0.406028  0.00603959
          59   -0.437104   -0.406555  0.00596014
          60   -0.406841    -0.40656  0.00586081
          61   -0.395721   -0.406382  0.00576743
          62   -0.402647   -0.406322  0.00567472
          63    -0.42916   -0.406684  0.00559621
          64   -0.419687   -0.406887  0.00551245
          65   -0.407519   -0.406897  0.00542766
          66   -0.404148   -0.406855  0.00534558
          67   -0.381719    -0.40648  0.00527894
          68   -0.373753   -0.405999  0.00522321
          69   -0.372131   -0.405508  0.00517052
          70   -0.383487   -0.405194  0.00510622
          71   -0.390839   -0.404991   0.0050383
          72   -0.407434   -0.405025  0.00496844
          73   -0.379715   -0.404679  0.00491246
          74   -0.356139   -0.404023  0.00488967
          75   -0.359982   -0.403435  0.00485961
          76   -0.354901   -0.402797  0.00483744
          77   -0.377769   -0.402472  0.00478553
          78    -0.38642   -0.402266   0.0047286
          79   -0.369638   -0.401853  0.00468674
          80   -0.366152   -0.401407  0.00464936
          81   -0.396118   -0.401341  0.00459242
          82   -0.405916   -0.401397  0.00453675
          83   -0.379262   -0.401131  0.00448992
          84   -0.365347   -0.400705  0.00445663
          85    -0.38051   -0.400467  0.00441053
          86   -0.380216   -0.400231  0.00436553
          87   -0.389123   -0.400104  0.00431722
          88   -0.425661   -0.400394  0.00427791
          89   -0.432973    -0.40076  0.00424548
          90   -0.403845   -0.400795  0.00419845
          91   -0.395142   -0.400732  0.00415277
          92   -0.433059   -0.401084  0.00412247
          93    -0.42837   -0.401377  0.00408857
          94   -0.422667   -0.401604  0.00405134
          95   -0.428741   -0.401889  0.00401875
          96   -0.413861   -0.402014  0.00397883
