#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.44274     1.44274           0
           2      1.4575     1.45012   0.0052168
           3     1.45296     1.45107  0.00356263
           4     1.45196     1.45129  0.00267903
           5     1.45897     1.45283  0.00254526
           6     1.49578     1.45999  0.00687121
           7     1.52742     1.46962   0.0106877
           8     1.53377     1.47764   0.0119883
           9      1.5154     1.48183   0.0113667
          10     1.52223     1.48587   0.0109244
          11     1.55502     1.49216   0.0115996
          12      1.5765     1.49919   0.0125834
          13     1.62558     1.50891   0.0149058
          14     1.66709     1.52021   0.0176099
          15     1.69094     1.53159    0.019775
          16     1.71668     1.54316     0.02166
          17     1.75301      1.5555   0.0236432
          18     1.83001     1.57075   0.0268006
          19     1.89997     1.58808   0.0304808
          20     1.95259     1.60631   0.0339715
          21     1.99176     1.62466   0.0369815
          22      2.0468     1.64385   0.0399697
          23     2.11907     1.66451   0.0432437
          24     2.21571     1.68748   0.0471479
          25     2.04684     1.70185   0.0474026
