#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.16411     2.16411           0
           2     2.18625     2.17518   0.0078252
           3     2.17944      2.1766  0.00534394
           4     2.17795     2.17694  0.00401855
           5     2.18845     2.17924   0.0038179
           6     2.24367     2.18998   0.0103068
           7     2.29113     2.20443   0.0160315
           8     2.30065     2.21646   0.0179824
           9      2.2731     2.22275   0.0170501
          10     2.28335     2.22881   0.0163866
          11     2.33253     2.23824   0.0173994
          12     2.36475     2.24878   0.0188752
          13     2.43838     2.26337   0.0223586
          14     2.50063     2.28031   0.0264149
          15     2.53641     2.29739   0.0296625
          16     2.57502     2.31474     0.03249
          17     2.62952     2.33325   0.0354648
          18     2.74502     2.35613    0.040201
          19     2.84995     2.38212   0.0457213
          20     2.92889     2.40946   0.0509572
          21     2.98764     2.43699   0.0554722
          22     3.07021     2.46577   0.0599546
          23      3.1786     2.49677   0.0648655
          24     3.32357     2.53122   0.0707218
          25     3.07026     2.55278   0.0711038
