#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.73321     0.73321           0
           2     0.73277     0.73299 0.000155563
           3      0.7211    0.729027  0.00323771
           4    0.706386    0.723366  0.00547034
           5    0.690982     0.71689   0.0072603
           6    0.714496    0.716491   0.0060612
           7      0.7915    0.727206   0.0111988
           8    0.698004    0.723556   0.0103768
           9    0.691994    0.720049   0.0097985
          10    0.552486    0.703293   0.0181787
          11    0.571278    0.691291    0.020101
          12     0.84398    0.704015    0.022089
          13    0.642316    0.699269   0.0208935
          14    0.750462    0.702926   0.0197185
          15     0.63529    0.698417   0.0189125
          16     0.79941    0.704729   0.0187542
          17    0.751362    0.707472   0.0178505
          18    0.665056    0.705116   0.0170136
          19    0.649128    0.702169   0.0163714
          20     0.80151    0.707136   0.0162889
          21     0.68265     0.70597   0.0155549
          22     0.74354    0.707678   0.0149413
          23    0.663998    0.705779   0.0144119
          24    0.737868    0.707116   0.0138733
          25    0.752064    0.708914   0.0134343
          26    0.698564    0.708516   0.0129235
          27    0.718908      0.7089   0.0124506
          28    0.691952    0.708295   0.0120206
          29    0.778496    0.710716   0.0118474
          30    0.761344    0.712403    0.011572
          31    0.535656    0.706702   0.0125248
          32    0.774068    0.708807   0.0123091
          33    0.773938    0.710781   0.0120932
          34    0.639558    0.708686   0.0119176
          35    0.649662       0.707   0.0116958
          36     0.71761    0.707294   0.0113746
          37    0.683062    0.706639   0.0110861
          38    0.741792    0.707564   0.0108328
          39    0.643794    0.705929   0.0106778
          40     0.80969    0.708523   0.0107213
          41    0.686582    0.707988   0.0104731
          42    0.693896    0.707653   0.0102292
          43    0.610904    0.705403   0.0102357
          44     0.67332    0.704674    0.010029
          45    0.670536    0.703915  0.00983482
          46    0.484614    0.699148   0.0107144
          47     0.62418    0.697552   0.0106045
          48    0.763928    0.698935   0.0104733
          49    0.638316    0.697698   0.0103324
          50      0.7648     0.69904   0.0102125
