#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.062882    0.062882           0
           2    0.067344    0.065113  0.00157756
           3     0.06267   0.0642987  0.00124426
           4    0.054282   0.0617945  0.00236093
           5    0.055368   0.0605092   0.0022111
           6     0.05281    0.059226  0.00218341
           7    0.063764   0.0598743  0.00196538
           8    0.068858   0.0609973  0.00201515
           9    0.068142   0.0617911  0.00194132
          10     0.05274    0.060886  0.00194679
          11    0.053096   0.0601778  0.00189424
          12    0.058676   0.0600527  0.00174052
          13    0.065704   0.0604874  0.00166003
          14    0.077136   0.0616766  0.00192074
          15    0.051874   0.0610231  0.00190062
          16    0.067116   0.0614039  0.00181958
          17    0.055488   0.0610559   0.0017455
          18    0.060638   0.0610327  0.00164868
          19    0.065208   0.0612524  0.00157649
          20    0.055238   0.0609517  0.00152608
          21    0.050938   0.0604749  0.00152609
          22    0.040874   0.0595839  0.00169698
          23    0.076868   0.0603354  0.00178184
          24     0.05528   0.0601248     0.00172
          25    0.055248   0.0599297  0.00166222
          26    0.031696   0.0588438  0.00192052
          27    0.073376    0.059382  0.00192333
          28    0.046464   0.0589206  0.00190917
          29    0.068698   0.0592578  0.00187287
          30     0.05571   0.0591395  0.00181417
          31     0.04416   0.0586563  0.00181886
          32    0.071108   0.0590454  0.00180317
          33    0.061602   0.0591229  0.00175019
          34    0.053328   0.0589525  0.00170699
          35    0.056702   0.0588882  0.00165943
          36    0.060292   0.0589272  0.00161379
          37    0.044738   0.0585437   0.0016151
          38    0.049402   0.0583031  0.00159041
          39    0.063478   0.0584358  0.00155516
          40    0.080396   0.0589848  0.00161027
          41    0.062552   0.0590718  0.00157335
          42    0.042724   0.0586826   0.0015833
          43    0.061556   0.0587494  0.00154789
          44    0.068058    0.058961   0.0015271
          45    0.071414   0.0592377  0.00151803
          46    0.063078   0.0593212  0.00148732
          47    0.062996   0.0593994  0.00145773
          48    0.083212   0.0598955  0.00150942
          49    0.061096     0.05992  0.00147881
          50    0.045884   0.0596392  0.00147564
