#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.37136     1.37136           0
           2     1.34323     1.35729  0.00994616
           3      1.3456      1.3534  0.00735529
           4     1.35625     1.35411  0.00555088
           5     1.35818     1.35492  0.00450017
           6     1.31221      1.3478  0.00750303
           7     1.35674     1.34908  0.00653886
           8     1.38821     1.35397  0.00732587
           9     1.35927     1.35456  0.00653551
          10     1.32174     1.35128  0.00665543
          11     1.38881     1.35469  0.00686961
          12      1.3774     1.35658  0.00655258
          13     1.35787     1.35668  0.00604928
          14      1.3776     1.35818  0.00579882
          15     1.34679     1.35742  0.00546165
          16      1.3566     1.35737  0.00512054
          17     1.37237     1.35825   0.0048948
          18     1.37425     1.35914  0.00470286
          19     1.34085     1.35818  0.00455273
          20     1.38826     1.35968  0.00456684
          21     1.32971     1.35825  0.00456694
          22     1.39038     1.35971  0.00458696
          23      1.3481     1.35921  0.00441522
          24     1.33495      1.3582  0.00434541
          25     1.34148     1.35753  0.00422271
          26     1.40052     1.35918  0.00437202
          27     1.34149     1.35853   0.0042589
          28     1.33367     1.35764  0.00419828
          29     1.36322     1.35783  0.00405792
          30      1.3364     1.35712  0.00398504
          31     1.35918     1.35718  0.00385705
          32     1.35609     1.35715  0.00373667
          33     1.36355     1.35734  0.00362846
          34     1.39422     1.35843  0.00368031
          35     1.38338     1.35914  0.00364358
          36     1.35512     1.35903  0.00354408
          37     1.37737     1.35952  0.00348277
          38      1.3806     1.36008  0.00343501
          39     1.30754     1.35873  0.00360143
          40     1.37053     1.35903  0.00352345
          41      1.3408     1.35858  0.00346543
          42     1.36759      1.3588  0.00338955
          43      1.3897     1.35952  0.00338607
          44     1.33907     1.35905  0.00334084
          45     1.38413     1.35961  0.00331276
          46     1.35306     1.35947   0.0032438
          47     1.35251     1.35932  0.00317815
          48     1.35174     1.35916  0.00311586
          49     1.35711     1.35912  0.00305255
          50     1.36735     1.35928  0.00299593
