#   N_BLOCK:  ACCEPTANCE:
           1    0.537027
           2    0.537949
           3    0.538102
           4    0.538019
           5    0.537993
           6    0.538029
           7    0.537838
           8    0.537646
           9    0.537677
          10    0.537749
          11    0.537665
          12    0.537566
          13    0.537604
          14    0.537629
          15    0.537679
          16    0.537703
          17    0.537724
          18     0.53763
          19    0.537627
          20    0.537616
          21    0.537601
          22    0.537581
          23     0.53761
          24    0.537666
          25    0.537681
          26    0.537726
          27    0.537795
          28    0.537748
          29    0.537714
          30    0.537761
          31    0.537749
          32    0.537773
          33    0.537775
          34    0.537748
          35    0.537753
          36    0.537731
          37    0.537693
          38    0.537681
          39    0.537714
          40    0.537719
          41    0.537705
          42    0.537687
          43    0.537683
          44    0.537705
          45    0.537675
          46    0.537673
          47    0.537679
          48    0.537719
          49    0.537713
          50    0.537733
