# generation best_length mean_best_half
104 4.7967506869 4.9988985264
105 4.7967506869 5.0623028487
106 4.7967506869 5.0727215011
107 4.7967506869 5.0161906498
108 4.7967506869 5.0152373970
109 4.7967506869 5.0165468835
110 4.7967506869 5.0485575540
111 4.7967506869 5.0217304936
112 4.7967506869 5.0932990460
113 4.7967506869 5.0814491780
114 4.7967506869 5.0447896704
115 4.7967506869 5.1348023979
116 4.7967506869 5.0958506728
117 4.7967506869 5.0739012338
118 4.7967506869 5.0432948421
119 4.7967506869 5.0422318967
120 4.7967506869 4.9615723045
121 4.7967506869 5.1044298525
122 4.7967506869 5.1112906981
123 4.7967506869 5.0776886184
124 4.7967506869 5.0626247926
125 4.7967506869 5.1242667810
126 4.7967506869 5.0913925096
127 4.7967506869 5.0645039253
128 4.7967506869 5.0417300833
129 4.7967506869 5.0411965588
130 4.7967506869 4.9765839245
131 4.7967506869 5.0075496711
132 4.7967506869 4.9631880996
133 4.7967506869 5.0310298590
134 4.7967506869 5.0181024842
135 4.7967506869 5.0265414689
136 4.7967506869 4.9967105985
137 4.7967506869 5.0349869837
138 4.7967506869 5.0828782546
139 4.7967506869 5.0036735929
140 4.7967506869 5.0513429449
141 4.7967506869 5.0570243438
142 4.7967506869 5.0147929969
143 4.7967506869 4.9976412646
144 4.7967506869 5.0148918781
145 4.7967506869 5.0563645470
146 4.7967506869 5.0557429273
147 4.7967506869 5.0322102412
148 4.7967506869 5.0616364342
149 4.7967506869 5.1056715263
150 4.7967506869 5.0438514580
151 4.7967506869 4.9846608492
152 4.7967506869 5.0064579462
153 4.7967506869 4.9901844265
154 4.7967506869 4.9524172267
155 4.7967506869 5.0395416820
156 4.7967506869 5.0379116831
157 4.7967506869 4.9926317937
158 4.7967506869 5.0137362900
159 4.7967506869 5.0354810754
160 4.7967506869 5.0355759605
161 4.7967506869 5.0190215575
162 4.7967506869 5.0191022422
163 4.7967506869 4.9875476368
164 4.7967506869 4.9729826883
165 4.7967506869 4.9818310395
166 4.7967506869 5.0413791173
167 4.7967506869 5.0326619280
168 4.7967506869 5.0772411718
169 4.7967506869 5.0634400642
170 4.7967506869 5.0507845760
171 4.7967506869 5.0943320363
172 4.7967506869 5.1146688919
173 4.7967506869 5.0447138183
174 4.7967506869 5.0646991803
175 4.7967506869 5.0278213683
176 4.7967506869 5.0626808932
177 4.7967506869 5.0915114670
178 4.7967506869 5.0884547268
179 4.7967506869 5.1078828979
180 4.7967506869 5.0949235413
181 4.7967506869 5.0628934686
182 4.7967506869 4.9962466116
183 4.7967506869 5.0080834725
184 4.7967506869 5.0663056960
185 4.7967506869 5.1369352755
186 4.7967506869 5.1307714817
187 4.7967506869 5.0581656336
188 4.7962446297 5.0773954851
189 4.7962446297 5.0865814559
190 4.7962446297 5.0238270849
191 4.7962446297 5.0329811935
192 4.7962446297 5.0694982638
193 4.7962446297 5.0312794014
194 4.7962446297 5.0231275099
195 4.7962446297 5.0601829069
