# generation best_length mean_best_half
104 4.7962446297 4.9896025147
105 4.7962446297 5.0658172570
106 4.7962446297 5.0774386357
107 4.7962446297 5.0280111081
108 4.7962446297 5.0359502635
109 4.7962446297 5.0362106719
110 4.7962446297 5.0451203335
111 4.7962446297 5.0130830966
112 4.7962446297 5.0698773771
113 4.7962446297 5.0651297280
114 4.7962446297 5.0545938562
115 4.7962446297 5.1189975714
116 4.7962446297 5.1028363997
117 4.7962446297 5.0886369837
118 4.7962446297 5.0765451325
119 4.7962446297 5.0712469110
120 4.7962446297 4.9989338660
121 4.7962446297 5.1223708745
122 4.7962446297 5.1032391562
123 4.7962446297 5.0830919889
124 4.7962446297 5.0701649822
125 4.7962446297 5.1140544562
126 4.7962446297 5.0725775968
127 4.7962446297 5.0473622384
128 4.7962446297 5.0102094968
129 4.7962446297 5.0048160984
130 4.7962446297 4.9553971052
131 4.7962446297 4.9958274356
132 4.7962446297 4.9567665946
133 4.7962446297 5.0243478602
134 4.7962446297 5.0164703341
135 4.7962446297 5.0230273578
136 4.7962446297 4.9959211948
137 4.7962446297 5.0273323070
138 4.7962446297 5.0628394341
139 4.7962446297 4.9963196054
140 4.7962446297 5.0498790640
141 4.7962446297 5.0635115856
142 4.7962446297 5.0195547440
143 4.7962446297 5.0111722952
144 4.7962446297 4.9823090662
145 4.7962446297 5.0569066830
146 4.7962446297 5.0552370033
147 4.7962446297 5.0289065449
148 4.7962446297 5.0799971631
149 4.7962446297 5.1062650512
150 4.7962446297 5.0453062936
151 4.7962446297 5.0132033328
152 4.7962446297 5.0575047769
153 4.7962446297 5.0224219661
154 4.7962446297 4.9893270191
155 4.7962446297 5.0688235137
156 4.7962446297 5.0678589454
157 4.7962446297 5.0237999890
158 4.7962446297 5.0555674209
159 4.7962446297 5.0629733480
160 4.7962446297 5.0566720088
161 4.7962446297 5.0685018901
162 4.7962446297 5.0452296267
163 4.7962446297 5.0350644265
164 4.7962446297 4.9940619445
165 4.7962446297 5.0018671374
166 4.7962446297 5.0367657928
167 4.7962446297 5.0483081383
168 4.7962446297 5.0646324004
169 4.7962446297 5.0210387978
170 4.7962446297 5.0273423544
171 4.7962446297 5.0814516690
172 4.7962446297 5.0785265502
173 4.7962446297 5.0092726552
174 4.7962446297 5.0521155624
175 4.7962446297 5.0067712147
176 4.7962446297 5.0354252911
177 4.7962446297 5.0676313498
178 4.7962446297 5.0724448924
179 4.7962446297 5.0907084089
180 4.7962446297 5.0778513052
181 4.7962446297 5.0790785237
182 4.7962446297 4.9981852408
183 4.7962446297 5.0131819678
184 4.7962446297 5.0704658574
185 4.7962446297 5.1045612339
186 4.7962446297 5.1043606703
187 4.7962446297 5.0693519639
188 4.7962446297 5.0868180734
189 4.7962446297 5.1249284286
190 4.7962446297 5.0604578868
191 4.7962446297 5.0593593166
192 4.7962446297 5.0980535811
193 4.7962446297 5.0625342383
194 4.7962446297 5.0598115044
195 4.7962446297 5.0653636294
196 4.7962446297 5.0725800102
