# rank best_length mean_best_half
0 4.7683940643 5.0862553306
1 4.7683940643 5.0053689234
2 4.7683940643 4.9788226354
3 4.7683940643 5.0131501049
4 4.7683940643 5.0530268821
5 4.7683940643 4.9322207403
6 4.7683940643 5.0104790647
7 4.7683940643 4.9536403967
8 4.7683940643 4.9988133675
9 4.7683940643 5.0375934072
10 4.7683940643 5.0458419792
