# rank best_length mean_best_half
0 4.7962446297 5.1238912059
1 4.8135641759 5.0455496643
2 4.7683940643 4.9712141882
3 4.7962446297 5.0473485616
4 4.7962446297 5.0731334590
5 4.7683940643 4.9675092957
6 4.7683940643 5.0077728955
7 4.7683940643 4.9863682341
8 4.7962446297 5.0153176933
9 4.7683940643 5.0382268971
10 4.7962446297 5.1012575543
