#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.252708    0.252708           0
           2    0.252204    0.252456 0.000178216
           3    0.249418    0.251444 0.000835365
           4    0.246115    0.250112  0.00131276
           5    0.246094    0.249308  0.00127262
           6    0.247866    0.249068  0.00108299
           7    0.250718    0.249303  0.00095359
           8    0.255032    0.250019  0.00107001
           9    0.253621     0.25042   0.0010232
          10    0.248271    0.250205 0.000943177
          11    0.248393     0.25004 0.000871702
          12    0.248609    0.249921 0.000807172
          13    0.250456    0.249962  0.00074613
          14    0.249333    0.249917 0.000694188
          15    0.248551    0.249826 0.000653856
          16    0.251939    0.249958 0.000626181
          17    0.249238    0.249916 0.000590777
          18    0.249463     0.24989 0.000558491
          19    0.248938     0.24984  0.00053134
          20    0.247451    0.249721 0.000518031
          21    0.253359    0.249894 0.000521524
          22    0.249997    0.249899 0.000497839
          23    0.251957    0.249988 0.000484172
          24    0.247601    0.249889 0.000474101
          25    0.247797    0.249805 0.000462463
          26    0.253572     0.24995 0.000466817
          27    0.250169    0.249958 0.000449598
          28    0.250479    0.249977 0.000433925
          29    0.248432    0.249923  0.00042222
          30    0.247755    0.249851 0.000414289
          31    0.250031    0.249857 0.000400965
          32    0.245846    0.249732 0.000407555
          33    0.248803    0.249703 0.000396175
          34    0.248599    0.249671 0.000385852
          35     0.25018    0.249685 0.000375102
          36    0.246648    0.249601 0.000374053
          37    0.247183    0.249536  0.00036961
          38    0.246123    0.249446 0.000370632
          39    0.252716     0.24953 0.000370493
          40    0.248692    0.249509 0.000361823
          41     0.25043    0.249531 0.000353695
          42    0.254938     0.24966 0.000367953
          43    0.250596    0.249682  0.00036004
          44    0.248085    0.249645 0.000353682
          45    0.246515    0.249576 0.000352599
          46    0.246303    0.249505 0.000352041
          47    0.250085    0.249517 0.000344767
          48    0.247431    0.249474 0.000340314
          49    0.248539    0.249455 0.000333903
          50    0.250887    0.249483 0.000328451
