#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.197026    0.197026           0
           2     0.21984    0.208433  0.00806597
           3     0.23611    0.217659  0.00925513
           4     0.17166    0.206159   0.0121394
           5    0.154612     0.19585   0.0133918
           6     0.19806    0.196218   0.0111649
           7    0.183252    0.194366  0.00972234
           8    0.244208    0.200596   0.0103119
           9    0.171806    0.197397  0.00964951
          10    0.214842    0.199142  0.00884084
          11    0.186946    0.198033  0.00810635
          12    0.196634    0.197916  0.00743166
          13    0.217066    0.199389  0.00700446
          14    0.211606    0.200262  0.00655827
          15     0.20542    0.200606  0.00613006
          16     0.17785    0.199184  0.00590962
          17    0.182208    0.198185  0.00564573
          18    0.191118    0.197792  0.00534571
          19    0.169502    0.196303  0.00526764
          20    0.194688    0.196223  0.00500488
          21    0.213118    0.197027  0.00483079
          22    0.197916    0.197068  0.00461137
          23    0.234612      0.1987  0.00469091
          24     0.23445     0.20019  0.00472605
          25    0.250142    0.202188  0.00494137
          26    0.167468    0.200852  0.00492845
          27    0.238332     0.20224  0.00493754
          28    0.200554     0.20218  0.00476156
          29    0.247704     0.20375  0.00484923
          30    0.229212    0.204599  0.00476129
          31    0.182976    0.203901  0.00465851
          32    0.209282    0.204069  0.00451596
          33    0.209334    0.204229  0.00438193
          34    0.178286    0.203466  0.00431898
          35    0.172312    0.202576  0.00428632
          36    0.224688     0.20319  0.00421103
          37    0.170554    0.202308  0.00418858
          38    0.166052    0.201354  0.00418561
          39    0.204822    0.201443  0.00407923
          40    0.277968    0.203356  0.00440308
          41    0.200418    0.203284  0.00429627
          42    0.190948    0.202991  0.00420401
          43     0.21876    0.203357   0.0041222
          44     0.21137    0.203539  0.00403254
          45    0.204504    0.203561  0.00394298
          46    0.205638    0.203606  0.00385752
          47     0.19075    0.203332  0.00378513
          48    0.238146    0.204058  0.00377512
          49    0.200676    0.203989  0.00369871
          50    0.175076     0.20341  0.00366966
