#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.409595    0.409595           0
           2    0.388022    0.398808  0.00762709
           3       0.374    0.390539  0.00845248
           4    0.339116    0.377683   0.0128116
           5     0.38369    0.378885   0.0103055
           6    0.357814    0.375373  0.00916675
           7    0.368556    0.374399  0.00790878
           8    0.287723    0.363565    0.012272
           9    0.351134    0.362183   0.0109859
          10    0.295155    0.355481   0.0117556
          11    0.343528    0.354394    0.010737
          12    0.339392    0.353144  0.00991474
          13    0.341238    0.352228  0.00919427
          14    0.351372    0.352167  0.00853774
          15    0.309344    0.349312  0.00843237
          16    0.334974    0.348416  0.00795282
          17    0.307688     0.34602  0.00783756
          18    0.363037    0.346966  0.00745894
          19    0.361021    0.347705  0.00710295
          20    0.306583    0.345649  0.00703912
          21    0.326582    0.344741  0.00676223
          22    0.272754    0.341469  0.00720315
          23    0.345336    0.341637  0.00689193
          24    0.342988    0.341693    0.006605
          25    0.292298    0.339718  0.00662974
          26    0.316528    0.338826  0.00643447
          27     0.38516    0.340542  0.00642092
          28     0.31115    0.339492  0.00627682
          29    0.392494     0.34132  0.00632086
          30    0.350199    0.341616  0.00611709
          31    0.395329    0.343348  0.00616027
          32     0.30458    0.342137  0.00608573
          33    0.334427    0.341903   0.0059058
          34    0.312253    0.341031  0.00579613
          35    0.305469    0.340015  0.00571889
          36     0.28048    0.338361  0.00579421
          37    0.279365    0.336767  0.00585289
          38    0.309261    0.336043  0.00574346
          39     0.35613    0.336558  0.00561923
          40    0.292093    0.335446  0.00558763
          41    0.386519    0.336692  0.00558847
          42    0.233204    0.334228  0.00597396
          43     0.30983    0.333661  0.00586191
          44    0.351927    0.334076  0.00574337
          45    0.416183      0.3359  0.00589845
          46    0.378992    0.336837  0.00584414
          47    0.324839    0.336582  0.00572537
          48    0.287669    0.335563  0.00569605
          49    0.332894    0.335508  0.00558007
          50    0.347737    0.335753  0.00547382
