#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.960816   -0.960816           0
           2   -0.965096   -0.962956  0.00151321
           3    -0.96698   -0.964297  0.00148901
           4   -0.972044   -0.966234  0.00201498
           5   -0.963788   -0.965745  0.00167031
           6   -0.971044   -0.966628  0.00160857
           7   -0.973592   -0.967623  0.00165812
           8   -0.978368   -0.968966  0.00191925
           9   -0.970576   -0.969145  0.00171432
          10    -0.97762   -0.969992  0.00173981
          11   -0.971148   -0.970097  0.00158481
          12   -0.971356   -0.970202  0.00145621
          13    -0.97322   -0.970434  0.00136257
          14    -0.97076   -0.970458  0.00126544
          15   -0.976184   -0.970839  0.00123732
          16   -0.973048   -0.970977  0.00116767
          17   -0.976612   -0.971309  0.00114505
          18   -0.973828   -0.971449  0.00108996
          19   -0.969584   -0.971351    0.001037
          20   -0.975876   -0.971577  0.00100953
          21   -0.973208   -0.971655 0.000964443
          22   -0.981808   -0.972116   0.0010251
          23     -0.9698   -0.972015 0.000985464
          24   -0.974072   -0.972101 0.000948121
          25    -0.97818   -0.972344 0.000940859
          26   -0.974224   -0.972417 0.000907445
          27   -0.969796    -0.97232 0.000879012
          28     -0.9757    -0.97244 0.000855869
          29   -0.967184   -0.972259 0.000845331
          30   -0.969468   -0.972166 0.000822257
          31   -0.965396   -0.971948 0.000824223
          32   -0.975788   -0.972068 0.000807156
          33    -0.97384   -0.972121 0.000784482
          34    -0.97542   -0.972218 0.000767385
          35   -0.974456   -0.972282 0.000748118
          36   -0.980028   -0.972497 0.000757645
          37   -0.980544   -0.972715 0.000767746
          38    -0.97758   -0.972843 0.000758142
          39   -0.972992   -0.972847 0.000738712
          40    -0.97958   -0.973015 0.000739174
          41    -0.96292   -0.972769 0.000761051
          42    -0.98424   -0.973042 0.000790421
          43   -0.976404    -0.97312 0.000775896
          44   -0.969784   -0.973044 0.000761958
          45   -0.964276    -0.97285 0.000769537
          46   -0.968124   -0.972747 0.000759634
          47   -0.975056   -0.972796 0.000745058
          48   -0.978992   -0.972925 0.000740634
          49   -0.974908   -0.972965 0.000726624
          50   -0.974024   -0.972987   0.0007124
