#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      65.805      65.805           0
           2     70.9754     68.3902     1.82804
           3     72.1708     69.6504     1.59498
           4      76.447     71.3496      1.8964
           5     69.5536     70.9904     1.55076
           6     75.5586     71.7517     1.46735
           7      79.301     72.8302     1.60587
           8     84.2698     74.2602        1.94
           9      74.616     74.2997     1.72485
          10     81.3697     75.0067     1.69106
          11     77.4533     75.2291     1.55189
          12     77.3807     75.4084     1.43288
          13     79.6856     75.7374     1.35991
          14     75.4685     75.7182     1.26291
          15     80.2618     76.0211      1.2145
          16     76.9576     76.0797        1.14
          17     82.8496     76.4779     1.14038
          18     79.8206     76.6636     1.09204
          19     73.5219     76.4982     1.04701
          20     79.8064     76.6637     1.00764
          21     78.6153     76.7566    0.963933
          22      86.732       77.21     1.02121
          23     73.4404     77.0461    0.989873
          24     79.4397     77.1459    0.953639
          25     82.9613     77.3785    0.943438
          26     78.4061      77.418     0.90798
          27     75.7244     77.3553    0.876515
          28     81.5717     77.5059    0.858048
          29     71.2842     77.2913    0.854861
          30     74.9992     77.2149    0.829773
          31     70.3776     76.9944    0.831802
          32     79.8807     77.0846    0.810684
          33     78.7123     77.1339    0.787617
          34     80.1733     77.2233    0.769508
          35      78.494     77.2596    0.748378
          36     85.6206     77.4918    0.762777
          37     86.4996     77.7353    0.780046
          38     81.5281     77.8351    0.765878
          39     78.9634      77.864    0.746786
          40     84.5009     78.0299    0.746321
          41     67.6314     77.7763    0.770008
          42      89.042     78.0446    0.797025
          43     81.9957     78.1364    0.783768
          44     74.8762     78.0623    0.769449
          45     69.8218     77.8792    0.773835
          46     72.8485     77.7699    0.764701
          47     79.1118     77.7984    0.748964
          48     84.0176      77.928    0.744483
          49     81.3879     77.9986    0.732631
          50     80.3814     78.0462    0.719526
