#   N_BLOCK:  ACCEPTANCE:
           1    0.187368
           2    0.186618
           3    0.187093
           4    0.186572
           5    0.186355
           6    0.186091
           7    0.186107
           8    0.186619
           9    0.186562
          10     0.18631
          11    0.186445
          12    0.186334
          13    0.186383
          14    0.186464
          15    0.186602
          16    0.186532
          17    0.186692
          18    0.186723
          19    0.186753
          20    0.186721
          21    0.186752
          22    0.186849
          23    0.187004
          24    0.187036
          25    0.187024
          26    0.186959
          27    0.187055
          28    0.187074
          29    0.187173
          30    0.187135
          31    0.187212
          32    0.187224
          33    0.187212
          34    0.187213
          35    0.187289
          36    0.187285
          37    0.187272
          38     0.18721
          39    0.187149
          40    0.187184
          41    0.187231
          42    0.187224
          43    0.187265
          44    0.187252
          45    0.187175
          46    0.187198
          47    0.187204
          48      0.1873
          49    0.187342
          50    0.187332
