#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.191052    0.191052           0
           2    0.195674    0.193363  0.00163412
           3    0.190712    0.192479  0.00130668
           4    0.188226    0.191416  0.00134478
           5    0.221502    0.197433  0.00548842
           6     0.20231    0.198246  0.00463348
           7    0.224838    0.202045  0.00530499
           8    0.173588    0.198488  0.00571124
           9    0.209312     0.19969  0.00520175
          10    0.175282     0.19725  0.00522294
          11    0.225456    0.199814  0.00534062
          12    0.222434    0.201699  0.00521764
          13      0.1919    0.200945  0.00487042
          14    0.191646    0.200281   0.0045676
          15    0.195392    0.199955  0.00427471
          16    0.211062    0.200649  0.00406351
          17    0.197062    0.200438  0.00382996
          18    0.196476    0.200218   0.0036235
          19    0.187718     0.19956  0.00349201
          20     0.22201    0.200683  0.00349316
          21    0.198914    0.200598  0.00332784
          22    0.174194    0.199398  0.00338609
          23    0.198388    0.199354  0.00323915
          24      0.2052    0.199598  0.00311333
          25    0.194182    0.199381  0.00299633
          26    0.233764    0.200704  0.00315946
          27    0.192826    0.200412  0.00305588
          28    0.187098    0.199936  0.00298351
          29    0.186164    0.199461  0.00291818
          30    0.227988    0.200412  0.00297179
          31     0.20828    0.200666  0.00288675
          32    0.224436    0.201409  0.00289053
          33    0.211496    0.201715  0.00281905
          34     0.17293    0.200868  0.00286044
          35    0.173854    0.200096  0.00288096
          36    0.201542    0.200136  0.00280121
          37     0.19464    0.199988  0.00272944
          38    0.186908    0.199644  0.00267923
          39    0.227676    0.200362  0.00270523
          40    0.213196    0.200683  0.00265656
          41     0.16593    0.199836  0.00272364
          42    0.218158    0.200272   0.0026935
          43    0.205042    0.200383  0.00263314
          44    0.187002    0.200079   0.0025908
          45    0.173544    0.199489  0.00259946
          46    0.198712    0.199472  0.00254301
          47    0.192464    0.199323  0.00249327
          48    0.174378    0.198803   0.0024949
          49    0.193826    0.198702  0.00244605
          50    0.222464    0.199177  0.00244286
