#   N_BLOCK:  ACCEPTANCE:
           1     0.31151
           2    0.312347
           3    0.312843
           4    0.312739
           5    0.312743
           6    0.312636
           7    0.312279
           8    0.312483
           9    0.312636
          10    0.312365
          11    0.312166
          12    0.312151
          13    0.312086
          14    0.312108
          15     0.31202
          16    0.312026
          17    0.311978
          18    0.311966
          19    0.311895
          20    0.311915
          21    0.311865
          22    0.311905
          23    0.311922
          24    0.311944
          25    0.311852
          26    0.311799
          27    0.311786
          28    0.311763
          29    0.311831
          30     0.31185
          31    0.311824
          32    0.311789
          33    0.311832
          34    0.311848
          35    0.311872
          36    0.311881
          37    0.311874
          38    0.311895
          39    0.311875
          40    0.311913
          41    0.311935
          42    0.311907
          43    0.311934
          44    0.311995
          45    0.311962
          46    0.311997
          47       0.312
          48    0.312022
          49    0.312009
          50     0.31199
