#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.07763     0.07763           0
           2    0.087254    0.082442   0.0034026
           3    0.067004    0.077296  0.00477492
           4    0.090766   0.0806635  0.00461844
           5    0.092452   0.0830212  0.00425419
           6    0.091202   0.0843847  0.00375731
           7    0.095606   0.0859877  0.00354607
           8     0.07551    0.084678  0.00333592
           9    0.074894   0.0835909   0.0031374
          10    0.074318   0.0826636  0.00295752
          11    0.081214   0.0825318  0.00269159
          12    0.094954    0.083567  0.00265891
          13    0.100746   0.0848885  0.00276332
          14     0.06437   0.0834229  0.00292893
          15     0.09542   0.0842227  0.00284077
          16    0.069604    0.083309  0.00280631
          17     0.09391   0.0839326  0.00270963
          18    0.085294   0.0840082  0.00256015
          19    0.088214   0.0842296  0.00243495
          20    0.075506   0.0837934  0.00235195
          21       0.097   0.0844223  0.00232251
          22     0.09142   0.0847404  0.00223862
          23    0.086338   0.0848098  0.00214236
          24     0.09413   0.0851982    0.002088
          25    0.087704   0.0852984  0.00200688
          26    0.081044   0.0851348  0.00193635
          27    0.100516   0.0857044  0.00194663
          28    0.085266   0.0856888  0.00187717
          29     0.09534   0.0860216  0.00184171
          30    0.086384   0.0860337  0.00178036
          31    0.093392    0.086271  0.00173868
          32    0.085968   0.0862616  0.00168437
          33     0.08544   0.0862367  0.00163351
          34    0.088212   0.0862948   0.0015865
          35    0.092074   0.0864599  0.00154974
          36      0.0959   0.0867221  0.00152872
          37     0.09188   0.0868615  0.00149374
          38    0.073502   0.0865099  0.00149523
          39    0.093926   0.0867001  0.00146894
          40      0.0836   0.0866226  0.00143426
          41    0.098346   0.0869085  0.00142749
          42    0.087176   0.0869149  0.00139352
          43    0.089672    0.086979  0.00136258
          44    0.083506   0.0869001   0.0013339
          45    0.070072   0.0865261  0.00135566
          46     0.08608   0.0865164  0.00132623
          47     0.07954    0.086368  0.00130629
          48    0.075866   0.0861492  0.00129727
          49    0.089854   0.0862248    0.001273
          50    0.088272   0.0862658   0.0012482
