#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         163    0.934528    0.202103   0.0824577
         164    0.732257    0.205336   0.0820182
         165      0.8118    0.209011   0.0816034
         166    0.776219    0.212428   0.0811834
         167    0.801732    0.215957   0.0807739
         168    0.753651    0.219157   0.0803565
         169    0.820503    0.222716   0.0799597
         170     1.22787    0.228628   0.0797077
         171     1.15661    0.234055   0.0794261
         172     1.21453    0.239756   0.0791686
         173     1.14433    0.244984   0.0788835
         174     1.24656    0.250741   0.0786399
         175      1.5233    0.258012    0.078526
         176     1.08696    0.262722   0.0782209
         177     1.15226    0.267748   0.0779403
         178    0.904218    0.271324   0.0775844
         179     1.01242    0.275464   0.0772613
         180     1.11138    0.280108   0.0769716
         181     1.37272    0.286144   0.0767826
         182      1.2381    0.291375   0.0765387
         183     1.49405    0.297947   0.0764021
         184     1.47064     0.30432   0.0762522
         185     1.18558    0.309084   0.0759887
         186     1.44094    0.315169   0.0758234
         187     1.45771    0.321279   0.0756637
         188     1.17209    0.325804   0.0753965
         189     1.19421    0.330399   0.0751374
         190     1.08596    0.334376   0.0748471
         191     0.95242    0.337612   0.0745252
         192     1.63071    0.344346   0.0744407
         193     1.23185    0.348945   0.0741969
         194     1.44366    0.354588   0.0740287
         195     1.26359    0.359249   0.0737957
         196     1.53803    0.365264   0.0736638
         197     1.61658    0.371615   0.0735633
         198     1.46736     0.37715   0.0733996
         199     1.31731    0.381874   0.0731826
         200     1.40096    0.386969   0.0729939
         201    0.844697    0.389247   0.0726663
         202    0.780528    0.391184   0.0723323
         203    0.829211    0.393341   0.0720082
         204     1.26836    0.397631   0.0717829
         205     1.01677    0.400651   0.0714962
         206     1.48609     0.40592    0.071343
         207     1.75349     0.41243   0.0712948
         208     1.60429     0.41816   0.0711819
         209     1.53318    0.423495    0.071041
         210     1.80517    0.430074   0.0710067
         211     1.41104    0.434724   0.0708222
         212     1.18978    0.438285   0.0705776
         213    0.961334    0.440741    0.070289
         214    0.746819    0.442171   0.0699751
         215    0.816272    0.443911   0.0696713
         216    0.201803     0.44279   0.0693577
         217    0.362649    0.442421   0.0690391
         218    0.437036    0.442396   0.0687224
         219  -0.0366185    0.440209   0.0684434
         220    0.140894    0.438848   0.0681458
         221    0.638748    0.439753   0.0678435
         222     0.66008    0.440745   0.0675451
         223    0.529556    0.441144   0.0672434
         224    0.459878    0.441227   0.0669433
         225    0.429745    0.441176   0.0666457
         226    0.780027    0.442676   0.0663677
         227    0.809655    0.444292    0.066095
         228     1.38547     0.44842   0.0659339
         229     1.94124    0.454939   0.0659675
         230     1.84438     0.46098   0.0659567
         231     1.97832    0.467549   0.0659974
         232     1.19957    0.470704   0.0657883
         233     1.14979    0.473619   0.0655705
         234     1.14982    0.476508    0.065354
         235    0.863353    0.478154   0.0650966
         236     1.31415    0.481697   0.0649171
         237      1.3675    0.485434   0.0647506
         238     1.55194    0.489915   0.0646335
         239     1.73987    0.495145   0.0645743
         240     1.87781    0.500906   0.0645617
         241     1.79165    0.506262   0.0645156
         242     1.68799    0.511145   0.0644335
         243     1.35949    0.514637   0.0642629
         244     1.29764    0.517846   0.0640796
         245     1.23766    0.520784   0.0638853
         246     1.11775     0.52321   0.0636717
         247     1.23758    0.526103   0.0634796
         248     1.26464    0.529081   0.0632934
         249     1.88397    0.534522   0.0632727
         250     1.61014    0.538824   0.0631657
         251     1.89961    0.544246   0.0631463
         252     1.93603    0.549769   0.0631368
         253     1.60482    0.553939   0.0630248
         254     1.37147    0.557157   0.0628588
         255     1.44397    0.560635   0.0627084
         256     1.38135    0.563841   0.0625454
         257     1.57412    0.567772   0.0624254
         258     1.81407    0.572603   0.0623701
         259     1.89998    0.577728   0.0623395
         260     1.88011    0.582737   0.0623006
         261     1.96491    0.588033   0.0622866
         262     2.05814    0.593644   0.0623011
         263     1.46481    0.596956   0.0621522
         264     1.72191    0.601217   0.0620627
         265     1.53895    0.604756   0.0619293
         266       2.143    0.610539   0.0619659
         267     1.85864    0.615213   0.0619098
         268     1.68334    0.619199    0.061807
         269     1.85933    0.623809   0.0617489
         270     1.81722    0.628229   0.0616782
         271     1.91853     0.63299   0.0616341
         272     1.89881    0.637644    0.061583
         273     1.73549    0.641665   0.0614885
         274     1.87435    0.646164   0.0614285
         275     1.75845    0.650209   0.0613381
         276     1.39587    0.652911   0.0611754
         277      2.1273    0.658233   0.0611856
         278     2.43097     0.66461   0.0612969
         279     2.27561    0.670384   0.0613486
         280      2.1746    0.675757   0.0613643
         281     1.70911    0.679434    0.061256
         282     1.65305    0.682886    0.061136
         283      1.6882    0.686439   0.0610231
         284     1.77501    0.690272   0.0609285
         285     2.22181    0.695646   0.0609512
         286     1.90902    0.699888   0.0608856
         287     2.00766    0.704445   0.0608437
         288     1.66523    0.707781   0.0607238
         289     1.47621     0.71044   0.0605719
         290     1.59462    0.713489   0.0604397
         291     2.19756    0.718589   0.0604468
         292     2.35175    0.724182    0.060498
         293     2.45051    0.730074   0.0605777
         294     2.31836    0.735476   0.0606121
         295     1.88353    0.739368   0.0605314
         296     1.59417    0.742256   0.0603958
         297     1.29195    0.744106   0.0602208
         298     1.48414     0.74659   0.0600699
         299     1.80232    0.750121   0.0599727
         300     1.91188    0.753993   0.0598976
         301     1.98128     0.75807   0.0598373
         302     1.38319     0.76014   0.0596749
         303     1.38127     0.76219   0.0595132
         304     1.74576    0.765426   0.0594053
         305     1.41504    0.767556   0.0592487
         306     1.38191    0.769563   0.0590891
         307      1.6389    0.772395   0.0589644
         308     1.56319    0.774963   0.0588288
         309      1.6549     0.77781   0.0587073
         310     1.47638    0.780064   0.0585612
         311     1.79128    0.783315   0.0584631
         312      1.6417    0.786066   0.0583404
         313     1.16305    0.787271   0.0581664
         314     1.09172     0.78824   0.0579893
         315     1.52815    0.790589   0.0578527
         316     1.51961    0.792896   0.0577156
         317     1.56424     0.79533   0.0575849
         318     1.81918    0.798549   0.0574937
         319     1.51986     0.80081   0.0573579
         320     1.41636    0.802734   0.0572109
         321     1.64272    0.805351   0.0570925
         322     1.73971    0.808253   0.0569889
         323     1.99494    0.811927   0.0569308
         324     1.42531     0.81382   0.0567865
         325     1.75697    0.816722   0.0566859
         326      1.2289    0.817986   0.0565261
         327     1.63535    0.820486   0.0564085
         328     1.38081    0.822194   0.0562624
         329     1.78282    0.825114   0.0561671
         330     1.87252    0.828288   0.0560865
         331     1.67628     0.83085   0.0559755
         332     1.69556    0.833454   0.0558675
         333     1.14189     0.83438   0.0557074
         334     1.30838      0.8358   0.0555587
         335     1.07207    0.836505   0.0553973
         336     1.49747    0.838472   0.0552673
         337     1.49247    0.840413   0.0551374
         338      1.2787    0.841709   0.0549895
         339     1.30453    0.843075   0.0548443
         340     1.58543    0.845258   0.0547264
         341     1.38173    0.846831   0.0545885
         342     1.23349    0.847962   0.0544406
         343     1.43675    0.849678   0.0543089
         344     1.49317    0.851549   0.0541833
         345     1.61511    0.853762   0.0540714
         346     1.93579    0.856889   0.0540055
         347     1.79578    0.859595   0.0539176
         348      1.4438    0.861274   0.0537888
         349     1.61611    0.863437   0.0536781
         350     1.21305    0.864436    0.053534
         351     1.41105    0.865993   0.0534042
         352     1.80462     0.86866    0.053319
         353     1.70964    0.871042   0.0532211
         354     1.59031    0.873074   0.0531096
         355     1.39958    0.874557   0.0529807
         356    0.992321    0.874888   0.0528329
         357     1.04162    0.875355    0.052687
         358    0.740604    0.874978   0.0525411
         359    0.669395    0.874406   0.0523979
         360     1.11703     0.87508   0.0522567
         361     1.33035    0.876341   0.0521271
         362     1.30891    0.877536   0.0519968
         363    0.795151    0.877309   0.0518541
         364    0.549524    0.876408   0.0517195
         365     1.02084    0.876804   0.0515793
         366    0.889073    0.876838   0.0514384
         367    0.801862    0.876633   0.0512986
         368    0.883669    0.876652   0.0511592
         369     1.04891    0.877119   0.0510227
         370     1.08097     0.87767   0.0508878
         371    0.948334    0.877861    0.050751
         372     0.66891    0.877299   0.0506176
         373    0.700346    0.876825   0.0504842
         374    0.714374     0.87639    0.050351
         375     1.03963    0.876825   0.0502187
         376    0.842114    0.876733   0.0500852
         377     1.04483    0.877179   0.0499543
         378     0.83417    0.877065   0.0498223
         379      1.1962    0.877907   0.0496979
         380     1.03948    0.878333    0.049569
         381     1.07578    0.878851   0.0494416
         382     1.50532    0.880491   0.0493394
         383     1.28452    0.881546   0.0492218
         384    0.982977     0.88181   0.0490943
         385     1.32618    0.882964   0.0489804
         386     1.48959    0.884536   0.0488787
         387     1.45841    0.886018   0.0487749
         388     1.29182    0.887064   0.0486604
         389    0.970028    0.887278   0.0485358
         390     1.21023    0.888106   0.0484184
         391     1.43121    0.889495   0.0483145
         392     1.30048    0.890543   0.0482026
         393    0.987508     0.89079   0.0480806
         394     1.05332    0.891202   0.0479603
         395     1.21822     0.89203    0.047846
         396     1.03725    0.892397   0.0477266
         397    0.852764    0.892297   0.0476065
         398    0.948918    0.892439   0.0474871
         399     1.26289    0.893368   0.0473772
         400     1.03776    0.893729   0.0472601
         401     0.72542    0.893309   0.0471441
         402    0.774833    0.893014   0.0470277
         403    0.919619     0.89308   0.0469111
         404     1.08022    0.893544   0.0467973
         405    0.658895    0.892964   0.0466853
         406    0.456157    0.891888   0.0465827
         407    0.537573    0.891018   0.0464764
         408     1.00993    0.891309   0.0463634
         409     1.27907    0.892257   0.0462597
         410    0.728871    0.891859   0.0461486
         411    0.970224    0.892049   0.0460367
         412     1.60016    0.893768   0.0459571
         413    0.965681    0.893942   0.0458461
         414     1.19792    0.894677   0.0457412
         415     1.00762    0.894949   0.0456318
         416     1.19266    0.895664   0.0455278
         417     1.00924    0.895937   0.0454194
         418    0.926739     0.89601   0.0453108
         419    0.764037    0.895695   0.0452037
         420      1.0063    0.895959   0.0450969
         421     1.55785    0.897531   0.0450172
         422     1.81313    0.899701   0.0449627
         423     1.64596    0.901465    0.044891
         424      1.4552    0.902771   0.0448042
         425     1.97076    0.905284   0.0447692
         426     1.71544    0.907186   0.0447044
         427     1.62535    0.908867   0.0446314
         428     1.22667     0.90961   0.0445333
         429     1.39402    0.910739   0.0444438
         430     1.33425    0.911724   0.0443513
         431    0.798906    0.911462   0.0442492
         432     1.06819    0.911825   0.0441483
         433     0.91149    0.911824   0.0440463
         434    0.742679    0.911435   0.0439465
         435      1.0951    0.911857   0.0438475
         436     1.19386    0.912504   0.0437517
         437     1.32465    0.913447   0.0436618
         438     1.42787    0.914621   0.0435779
         439     1.54156    0.916049    0.043502
         440     1.38661    0.917119   0.0434163
         441     1.56509    0.918588   0.0433427
         442     1.50637    0.919918    0.043265
         443      1.3481    0.920884   0.0431782
         444    0.734817    0.920465    0.043083
         445     1.38926    0.921519    0.042999
         446     1.17069    0.922077   0.0429062
         447     1.62917    0.923659   0.0428394
         448     1.55722    0.925074   0.0427671
         449     1.29135    0.925889   0.0426796
         450     1.49719    0.927159   0.0426037
         451     1.63947    0.928738   0.0425385
         452     1.70983    0.930466   0.0424795
         453     1.55073    0.931836   0.0424077
         454     1.65399    0.933426   0.0423442
         455     1.47622    0.934619   0.0422679
         456     1.23631    0.935281   0.0421804
         457     1.40001    0.936298   0.0421003
         458      1.4213    0.937357   0.0420217
         459     1.35599    0.938269   0.0419401
         460     1.23277    0.938909   0.0418538
         461     1.08073    0.939217   0.0417641
         462    0.809662    0.938936   0.0416747
         463     1.12575     0.93934   0.0415866
         464     1.10185     0.93969   0.0414985
         465     1.06757    0.939965   0.0414101
         466     1.06417    0.940231   0.0413221
         467      1.5525    0.941543   0.0412544
         468     1.12892    0.941943   0.0411682
         469      1.2504    0.942601   0.0410857
         470    0.985113    0.942691   0.0409984
         471     1.27272    0.943392   0.0409173
         472     1.35979    0.944274   0.0408401
         473     1.37009    0.945174   0.0407637
         474     1.59046    0.946536   0.0407004
         475     1.28689    0.947252   0.0406211
         476     1.56823    0.948557   0.0405567
         477     1.83944    0.950424   0.0405146
         478     1.50005    0.951574   0.0404462
         479     1.40814    0.952527    0.040373
         480     1.13969    0.952917   0.0402907
         481     1.11735    0.953259   0.0402084
         482     1.15544    0.953679   0.0401272
         483    0.916027    0.953601   0.0400442
         484    0.786321    0.953255    0.039963
         485    0.918011    0.953182   0.0398806
         486    0.831688    0.952932   0.0397993
         487    0.967599    0.952962   0.0397176
         488    0.368421    0.951765   0.0396543
         489    0.202486    0.950232   0.0396028
         490    0.293543    0.948892   0.0395447
         491    0.548104    0.948076   0.0394725
         492    0.954478    0.948089   0.0393923
         493     1.05991    0.948316   0.0393131
         494     1.42169    0.949274   0.0392452
         495        1.25    0.949881   0.0391706
         496    0.884344    0.949749   0.0390918
         497     1.05152    0.949954   0.0390137
         498     1.04925    0.950154   0.0389359
         499     1.07062    0.950395   0.0388586
         500     1.18512    0.950864   0.0387837
         501    0.965844    0.950894   0.0387063
         502     1.50397    0.951996   0.0386449
         503     1.27199    0.952632   0.0385733
         504     1.29425     0.95331   0.0385027
         505     1.32874    0.954053   0.0384336
         506     1.93963    0.956001    0.038407
         507     1.97409    0.958009   0.0383837
         508     1.76219    0.959592   0.0383408
         509     1.37044    0.960399    0.038274
         510     1.24484    0.960957    0.038203
         511     1.52819    0.962067   0.0381443
         512     1.37179    0.962867   0.0380782
         513     1.54515    0.964003   0.0380209
         514     1.42428    0.964898   0.0379575
         515     1.56507    0.966063   0.0379017
         516     1.44251    0.966987   0.0378395
         517     1.51971    0.968056   0.0377814
         518    0.857269    0.967842    0.037709
         519     1.49187    0.968852   0.0376499
         520       1.388    0.969658   0.0375861
         521     1.45988    0.970599   0.0375258
         522     1.67472    0.971948   0.0374781
         523     1.44995    0.972861   0.0374176
         524     1.24972     0.97339   0.0373499
         525     1.59375    0.974571   0.0372975
         526     1.87568    0.976285   0.0372659
         527     2.01875    0.978263   0.0372476
         528     2.03431    0.980263   0.0372307
         529      2.0727    0.982328   0.0372176
         530      2.1806    0.984589    0.037216
         531     2.22305    0.986921   0.0372189
         532     1.98688    0.988801   0.0371964
         533     1.72667    0.990185   0.0371523
         534     1.60987    0.991346   0.0371009
         535      1.6428    0.992563   0.0370515
         536     1.35238    0.993235   0.0369885
         537     1.79417    0.994726   0.0369496
         538     1.94151    0.996486   0.0369228
         539     1.43148    0.997293   0.0368632
         540       1.369    0.997981   0.0368013
         541     1.69962    0.999278   0.0367561
         542     1.77576     1.00071   0.0367162
         543     1.98169     1.00252    0.036693
         544     1.82504     1.00403   0.0366567
         545     1.97959     1.00582   0.0366331
         546     1.71463     1.00712   0.0365891
         547     1.88023     1.00871    0.036557
         548     1.85673     1.01026    0.036523
         549     1.32687     1.01084    0.036461
         550     1.82304     1.01231   0.0364246
         551      1.9561     1.01403   0.0363988
         552     1.68656     1.01525   0.0363532
         553     1.30142     1.01576   0.0362912
         554     1.50023     1.01664   0.0362362
         555     1.52141     1.01755   0.0361823
         556     1.55506     1.01851   0.0361301
         557     1.60815     1.01957   0.0360808
         558     1.91223     1.02117   0.0360516
         559     2.10002      1.0231   0.0360387
         560     1.75779     1.02441   0.0359982
         561     1.34113     1.02498   0.0359385
         562      1.1046     1.02512   0.0358748
         563    0.717168     1.02457   0.0358152
         564     1.06929     1.02465   0.0357518
         565     1.22279       1.025   0.0356903
         566     1.25986     1.02542   0.0356296
         567    0.709537     1.02486   0.0355711
         568    0.791192     1.02445   0.0355109
         569      1.2874     1.02491   0.0354515
         570      1.5268     1.02579   0.0354002
         571     1.65145     1.02689   0.0353552
         572     1.68729     1.02804   0.0353122
         573      1.9363     1.02963   0.0352862
         574      1.6557     1.03072   0.0352415
         575      1.6389     1.03178   0.0351961
         576     1.68539     1.03291   0.0351533
         577     1.43639     1.03361   0.0350993
