#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.301522    0.301522           0
           2    0.270738     0.28613   0.0108838
           3    0.290612    0.287624  0.00735768
           4    0.312578    0.293863  0.00772272
           5    0.325894    0.300269  0.00842629
           6    0.300964    0.300385  0.00702271
           7     0.24989    0.293171  0.00899084
           8    0.230552    0.285344   0.0107471
           9    0.322294    0.289449   0.0103074
          10     0.24982    0.285486   0.0100095
          11      0.2769    0.284706  0.00912993
          12     0.26744    0.283267  0.00848171
          13    0.265558    0.281905  0.00793791
          14    0.260834      0.2804  0.00751225
          15    0.257672    0.278885   0.0071626
          16    0.332534    0.282238  0.00745862
          17    0.262482    0.281076  0.00710983
          18    0.317724    0.283112   0.0070003
          19    0.308632    0.284455  0.00675949
          20    0.281534    0.284309   0.0064231
          21    0.299118    0.285014  0.00615582
          22    0.356142    0.288247  0.00667123
          23    0.310042    0.289195  0.00644813
          24     0.21563    0.286129  0.00686947
          25    0.265752    0.285314  0.00664287
          26    0.265724    0.284561  0.00642997
          27     0.22069    0.282195  0.00661267
          28    0.289264    0.282448  0.00638132
          29    0.280294    0.282373   0.0061617
          30    0.289772     0.28262  0.00596125
          31    0.320294    0.283835  0.00589152
          32    0.336992    0.285497  0.00593698
          33    0.286064    0.285514   0.0057571
          34    0.275714    0.285225  0.00559498
          35    0.287418    0.285288  0.00543548
          36    0.298316     0.28565  0.00529652
          37    0.298292    0.285992  0.00516438
          38    0.306206    0.286524   0.0050558
          39    0.382104    0.288974  0.00548812
          40    0.320774    0.289769  0.00540819
          41    0.263356    0.289125  0.00531451
          42    0.287788    0.289093  0.00518807
          43    0.244098    0.288047  0.00517187
          44    0.260328    0.287417  0.00509255
          45    0.263314    0.286881  0.00500747
          46    0.301472    0.287199  0.00490865
          47    0.262468    0.286672  0.00483233
          48    0.236764    0.285633  0.00484222
          49    0.330806    0.286554  0.00483036
          50    0.321368    0.287251  0.00478368
