#   N_BLOCK:  ACCEPTANCE:
           1    0.139836
           2    0.140076
           3    0.141287
           4    0.140811
           5    0.140466
           6    0.140103
           7    0.140231
           8    0.140836
           9    0.140868
          10    0.140943
          11     0.14111
          12    0.141013
          13    0.140993
          14    0.141246
          15      0.1414
          16    0.140962
          17    0.141095
          18    0.140926
          19    0.140635
          20    0.140635
          21     0.14056
          22    0.140498
          23     0.14056
          24    0.140793
          25    0.140887
          26    0.141011
          27    0.141055
          28    0.141062
          29    0.141009
          30    0.141049
          31    0.141079
          32     0.14107
          33    0.141064
          34    0.141134
          35    0.141121
          36    0.141094
          37    0.141081
          38       0.141
          39    0.140905
          40    0.140948
          41    0.140985
          42    0.141057
          43    0.141142
          44    0.141164
          45    0.141206
          46    0.141149
          47    0.141217
          48    0.141269
          49    0.141227
          50    0.141216
