#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.034076    0.034076           0
           2    0.032428    0.033252 0.000582656
           3    0.033774    0.033426 0.000413603
           4    0.029104   0.0323455 0.000985817
           5    0.025846   0.0310456  0.00140491
           6    0.021128   0.0293927  0.00190984
           7    0.030006   0.0294803  0.00163902
           8     0.03653   0.0303615  0.00165415
           9    0.038558   0.0312722  0.00170271
          10      0.0352    0.031665  0.00157709
          11    0.024766   0.0310378  0.00155343
          12    0.026382   0.0306498  0.00147163
          13    0.036278   0.0310828  0.00142068
          14    0.032572   0.0311891  0.00132318
          15    0.025316   0.0307976   0.0012916
          16     0.03841   0.0312734  0.00129555
          17    0.031196   0.0312688  0.00121935
          18    0.028978   0.0311416  0.00115823
          19    0.030018   0.0310824  0.00109878
          20    0.025398   0.0307982  0.00107997
          21    0.024216   0.0304848  0.00107307
          22    0.018302    0.029931   0.0011584
          23    0.032184    0.030029  0.00111217
          24    0.034138   0.0302002  0.00107892
          25    0.028262   0.0301226  0.00103855
          26    0.017174   0.0296246  0.00111162
          27    0.038384    0.029949  0.00111679
          28    0.030556   0.0299707  0.00107711
          29    0.027378   0.0298813  0.00104367
          30    0.027702   0.0298087  0.00101141
          31    0.022858   0.0295845  0.00100333
          32     0.03436   0.0297337  0.00098301
          33    0.026346    0.029631 0.000958567
          34     0.02413   0.0294692  0.00094393
          35    0.029136   0.0294597 0.000917008
          36     0.03207   0.0295322 0.000894398
          37    0.027078   0.0294659 0.000872681
          38    0.024668   0.0293396 0.000858801
          39    0.029528   0.0293445 0.000836794
          40    0.037088   0.0295381 0.000837968
          41    0.033818   0.0296424 0.000824006
          42    0.023726   0.0295016 0.000816339
          43    0.030708   0.0295296 0.000797837
          44    0.037854   0.0297188 0.000801821
          45     0.03431   0.0298208 0.000790468
          46     0.03011   0.0298271 0.000773309
          47     0.03481   0.0299331 0.000764088
          48    0.039078   0.0301237 0.000771556
          49     0.02982   0.0301175 0.000755835
          50    0.027464   0.0300644 0.000742579
