#   N_BLOCK:  ACCEPTANCE:
           1    0.380807
           2    0.382105
           3    0.381646
           4    0.381366
           5    0.381514
           6    0.381491
           7    0.381581
           8    0.381662
           9    0.381842
          10    0.381535
          11    0.381522
          12    0.381432
          13    0.381393
          14    0.381527
          15    0.381517
          16    0.381523
          17    0.381613
          18    0.381561
          19    0.381527
          20    0.381557
          21    0.381535
          22    0.381495
          23    0.381476
          24    0.381468
          25    0.381379
          26    0.381384
          27    0.381448
          28    0.381358
          29    0.381396
          30    0.381441
          31    0.381428
          32     0.38144
          33     0.38147
          34    0.381497
          35    0.381494
          36    0.381475
          37    0.381459
          38    0.381486
          39    0.381454
          40    0.381427
          41    0.381443
          42    0.381447
          43    0.381479
          44    0.381466
          45     0.38142
          46    0.381421
          47    0.381442
          48    0.381458
          49    0.381454
          50    0.381433
