#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.060422    0.060422           0
           2    0.052092    0.056257   0.0029451
           3     0.04834    0.053618   0.0029151
           4    0.066662    0.056879   0.0035715
           5     0.06443   0.0583892   0.0031604
           6    0.061378   0.0588873  0.00267264
           7    0.049492   0.0575451  0.00260615
           8    0.060788   0.0579505  0.00231169
           9    0.061036   0.0582933  0.00208011
          10    0.059172   0.0583812  0.00187395
          11    0.064024   0.0588942  0.00177241
          12    0.055312   0.0585957  0.00164966
          13    0.057604   0.0585194  0.00152453
          14    0.061126   0.0587056  0.00142695
          15    0.049718   0.0581064  0.00145218
          16     0.06151   0.0583191  0.00137691
          17    0.054718   0.0581073  0.00131211
          18    0.061334   0.0582866   0.0012514
          19     0.05822   0.0582831  0.00118554
          20    0.058418   0.0582898  0.00112628
          21    0.057946   0.0582734  0.00107277
          22    0.045062   0.0576729  0.00118018
          23    0.062452   0.0578807  0.00114701
          24    0.064284   0.0581475  0.00112983
          25    0.063464   0.0583602  0.00110447
          26    0.059946   0.0584212  0.00106367
          27     0.05753   0.0583881  0.00102479
          28    0.055692   0.0582919   0.0009927
          29    0.056536   0.0582313 0.000960313
          30    0.043016   0.0577241  0.00105376
          31    0.063442   0.0579086  0.00103578
          32    0.047372   0.0575793  0.00105445
          33    0.049502   0.0573345  0.00105052
          34    0.057298   0.0573335  0.00101962
          35    0.059812   0.0574043 0.000992949
          36    0.052818   0.0572769 0.000973505
          37    0.062456   0.0574169 0.000957204
          38    0.054978   0.0573527 0.000934164
          39    0.061178   0.0574508 0.000915346
          40    0.060096   0.0575169 0.000894848
          41    0.058626    0.057544 0.000873431
          42    0.062022   0.0576506 0.000859118
          43    0.064748   0.0578156 0.000854847
          44     0.06007   0.0578669 0.000836953
          45    0.056308   0.0578322 0.000819071
          46    0.058078   0.0578376 0.000801282
          47    0.058636   0.0578546 0.000784414
          48    0.063574   0.0579737 0.000777069
          49    0.060254   0.0580202 0.000762603
          50    0.075382   0.0583675 0.000822614
