#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1       1.955       1.955           0
           2     1.95493     1.95496 2.48769e-05
           3     1.95472     1.95488 6.89832e-05
           4     1.95437     1.95475  0.00012295
           5     1.95388     1.95458 0.000185339
           6     1.95324     1.95436 0.000255254
           7     1.95247     1.95409 0.000332112
           8     1.95155     1.95377 0.000415513
           9     1.95048      1.9534 0.000505187
          10     1.94926     1.95299 0.000600957
          11     1.94789     1.95253 0.000702714
          12     1.94636     1.95201 0.000810407
          13     1.94467     1.95145  0.00092403
          14     1.94282     1.95083  0.00104355
          15     1.94079     1.95016  0.00116902
          16     1.93859     1.94944  0.00130056
          17     1.93621     1.94866  0.00143824
          18     1.93363     1.94782  0.00158216
          19     1.93087     1.94693  0.00173247
          20     1.92789     1.94598  0.00188937
          21     1.92471     1.94497  0.00205309
          22      1.9213     1.94389  0.00222385
          23     1.91766     1.94275  0.00240188
          24     1.91378     1.94154  0.00258745
          25     1.90964     1.94027  0.00278082
          26     1.90525     1.93892  0.00298224
          27     1.90058      1.9375    0.003192
          28     1.89563     1.93601   0.0034104
          29     1.89037     1.93443  0.00363775
          30     1.88481     1.93278  0.00387435
          31     1.87892     1.93104  0.00412049
          32      1.8727     1.92922   0.0043765
          33     1.86613     1.92731   0.0046427
          34     1.85919      1.9253  0.00491946
          35     1.85187      1.9232   0.0052071
          36     1.84416     1.92101  0.00550599
          37     1.83604     1.91871  0.00581645
          38     1.82749     1.91631  0.00613877
          39     1.81852      1.9138  0.00647325
          40      1.8091     1.91119  0.00682017
          41     1.79922     1.90846  0.00717977
          42     1.78887     1.90561  0.00755229
          43     1.77805     1.90264  0.00793794
          44     1.76673     1.89955  0.00833689
          45     1.75492     1.89634  0.00874925
          46     1.74261       1.893  0.00917511
          47      1.7298     1.88952  0.00961451
          48     1.71648     1.88592   0.0100674
          49     1.70266     1.88218   0.0105338
          50     1.68835      1.8783   0.0110133
          51     1.67355     1.87429   0.0115059
          52     1.65827     1.87013   0.0120112
          53     1.64253     1.86584   0.0125288
          54     1.62635      1.8614   0.0130582
          55     1.60974     1.85683   0.0135988
          56     1.59274     1.85211   0.0141501
          57     1.57537     1.84726   0.0147112
          58     1.55766     1.84226   0.0152814
          59     1.53966     1.83714   0.0158598
          60     1.52138     1.83187   0.0164454
          61     1.50289     1.82648   0.0170372
          62      1.4842     1.82096   0.0176342
          63     1.46538     1.81532   0.0182352
          64     1.44645     1.80955   0.0188391
          65     1.42746     1.80367   0.0194448
          66     1.40846     1.79769    0.020051
          67      1.3895     1.79159   0.0206565
          68      1.3706      1.7854   0.0212603
          69     1.35181     1.77912   0.0218611
          70     1.33318     1.77275   0.0224579
          71     1.31474      1.7663   0.0230494
          72     1.29653     1.75977   0.0236347
          73     1.27859     1.75318   0.0242127
          74     1.26094     1.74653   0.0247824
          75     1.24363     1.73982   0.0253428
          76      1.2267     1.73307   0.0258931
          77     1.21016     1.72628   0.0264324
          78     1.19406     1.71946   0.0269598
          79     1.17843     1.71261   0.0274746
          80      1.1633     1.70574   0.0279761
          81     1.14869     1.69887   0.0284634
          82     1.13464     1.69198    0.028936
          83     1.12118     1.68511   0.0293933
          84     1.10833     1.67824   0.0298346
          85     1.09613     1.67139   0.0302594
          86     1.08459     1.66457   0.0306672
          87     1.07375     1.65778   0.0310575
          88     1.06362     1.65103   0.0314299
          89     1.05423     1.64432    0.031784
          90     1.04559     1.63767   0.0321195
          91     1.03771     1.63108   0.0324362
          92      1.0306     1.62455   0.0327337
          93     1.02428     1.61809    0.033012
          94     1.01873     1.61172   0.0332708
          95     1.01396     1.60543   0.0335103
          96     1.00995     1.59922   0.0337305
          97     1.00669     1.59311   0.0339314
          98     1.00415      1.5871   0.0341132
          99      1.0023      1.5812   0.0342762
         100     1.00112      1.5754   0.0344208
         101     1.00056      1.5697   0.0345474
         102     1.00058     1.56413   0.0346563
         103     1.00112     1.55866   0.0347482
         104     1.00215     1.55331   0.0348237
         105     1.00361     1.54807   0.0348833
         106     1.00544     1.54295   0.0349279
         107     1.00759     1.53795    0.034958
         108     1.01001     1.53306   0.0349744
         109     1.01264     1.52829   0.0349779
         110     1.01544     1.52363   0.0349692
         111     1.01836     1.51907   0.0349492
         112     1.02135     1.51463   0.0349186
         113     1.02438     1.51029    0.034878
         114      1.0274     1.50606   0.0348284
         115     1.03039     1.50192   0.0347702
         116     1.03332     1.49788   0.0347044
         117     1.03617     1.49393   0.0346314
         118     1.03891     1.49008   0.0345519
         119     1.04154     1.48631   0.0344665
         120     1.04404     1.48262   0.0343758
         121     1.04641     1.47902   0.0342802
         122     1.04864     1.47549   0.0341803
         123     1.05073     1.47204   0.0340764
         124     1.05269     1.46865    0.033969
         125     1.05451     1.46534   0.0338584
         126      1.0562     1.46209    0.033745
         127     1.05778     1.45891   0.0336292
         128     1.05924     1.45579   0.0335111
         129      1.0606     1.45272    0.033391
         130     1.06187     1.44972   0.0332693
         131     1.06306     1.44677    0.033146
         132     1.06417     1.44387   0.0330214
         133     1.06523     1.44102   0.0328956
         134     1.06623     1.43822   0.0327688
         135     1.06719     1.43548   0.0326411
         136     1.06811     1.43277   0.0325127
         137       1.069     1.43012   0.0323836
         138     1.06986     1.42751    0.032254
         139     1.07071     1.42494   0.0321239
         140     1.07154     1.42242   0.0319935
         141     1.07235     1.41993   0.0318628
         142     1.07315     1.41749   0.0317318
         143     1.07393     1.41509   0.0316008
         144     1.07469     1.41273   0.0314696
         145     1.07543      1.4104   0.0313384
         146     1.07616     1.40811   0.0312073
         147     1.07686     1.40586   0.0310762
         148     1.07753     1.40364   0.0309453
         149     1.07818     1.40145   0.0308147
         150      1.0788      1.3993   0.0306842
         151     1.07938     1.39718   0.0305541
         152     1.07994      1.3951   0.0304243
         153     1.08046     1.39304   0.0302948
         154     1.08095     1.39101   0.0301658
         155     1.08142     1.38902   0.0300372
         156     1.08185     1.38705   0.0299092
         157     1.08228     1.38511   0.0297816
         158     1.08268     1.38319   0.0296545
         159     1.08309     1.38131    0.029528
         160     1.08349     1.37944   0.0294021
         161     1.08391     1.37761   0.0292767
         162     1.08435      1.3758   0.0291519
         163     1.08482     1.37401   0.0290277
         164     1.08532     1.37225    0.028904
         165     1.08586     1.37052   0.0287809
         166     1.08644     1.36881   0.0286583
         167     1.08708     1.36712   0.0285363
         168     1.08776     1.36546   0.0284149
         169     1.08849     1.36382    0.028294
         170     1.08927      1.3622   0.0281736
         171     1.09008     1.36061   0.0280537
         172     1.09092     1.35904   0.0279344
         173     1.09177      1.3575   0.0278156
         174     1.09263     1.35598   0.0276974
         175     1.09347     1.35448   0.0275797
         176     1.09429       1.353   0.0274626
         177     1.09506     1.35154   0.0273461
         178     1.09577      1.3501   0.0272302
         179     1.09641     1.34869   0.0271149
         180     1.09695     1.34729   0.0270003
         181     1.09739     1.34591   0.0268864
         182     1.09771     1.34454   0.0267733
         183      1.0979     1.34319   0.0266609
         184     1.09795     1.34186   0.0265493
         185     1.09786     1.34054   0.0264385
         186     1.09763     1.33924   0.0263286
         187     1.09726     1.33794   0.0262196
         188     1.09674     1.33666   0.0261115
         189     1.09608     1.33539   0.0260043
         190     1.09529     1.33412   0.0258982
         191     1.09438     1.33287    0.025793
         192     1.09336     1.33162   0.0256888
         193     1.09225     1.33038   0.0255856
         194     1.09104     1.32915   0.0254834
         195     1.08976     1.32792   0.0253823
         196     1.08843      1.3267   0.0252822
         197     1.08706     1.32548   0.0251831
         198     1.08566     1.32427    0.025085
         199     1.08425     1.32306   0.0249879
         200     1.08284     1.32186   0.0248919
         201     1.08145     1.32067   0.0247967
         202     1.08009     1.31948   0.0247026
         203     1.07877     1.31829   0.0246093
         204      1.0775     1.31711    0.024517
         205      1.0763     1.31593   0.0244255
         206     1.07517     1.31477   0.0243349
         207     1.07413      1.3136   0.0242451
         208     1.07317     1.31245    0.024156
         209     1.07232      1.3113   0.0240678
         210     1.07157     1.31016   0.0239802
         211     1.07093     1.30902   0.0238934
         212     1.07042      1.3079   0.0238072
         213     1.07003     1.30678   0.0237216
         214     1.06977     1.30567   0.0236366
         215     1.06966     1.30458   0.0235521
         216     1.06969     1.30349   0.0234681
         217     1.06987     1.30241   0.0233847
         218     1.07022     1.30135   0.0233017
         219     1.07073     1.30029    0.023219
         220     1.07143     1.29925   0.0231368
         221     1.07231     1.29823   0.0230549
         222     1.07338     1.29721   0.0229733
         223     1.07465     1.29622   0.0228919
         224     1.07613     1.29523   0.0228108
         225     1.07781     1.29427   0.0227299
         226     1.07969     1.29332   0.0226491
         227     1.08179     1.29239   0.0225685
         228     1.08408     1.29147    0.022488
         229     1.08658     1.29058   0.0224076
         230     1.08926      1.2897   0.0223273
         231     1.09212     1.28885    0.022247
         232     1.09515     1.28801   0.0221667
         233     1.09831      1.2872   0.0220866
         234     1.10161      1.2864   0.0220064
         235     1.10501     1.28563   0.0219263
         236     1.10849     1.28488   0.0218462
         237     1.11202     1.28415   0.0217662
         238     1.11559     1.28344   0.0216863
         239     1.11916     1.28276   0.0216064
         240     1.12271     1.28209   0.0215267
         241     1.12622     1.28144   0.0214471
         242     1.12966     1.28082   0.0213676
         243     1.13301     1.28021   0.0212884
         244     1.13626     1.27962   0.0212093
         245     1.13938     1.27905   0.0211304
         246     1.14236     1.27849   0.0210518
         247     1.14519     1.27795   0.0209735
         248     1.14785     1.27743   0.0208955
         249     1.15035     1.27692   0.0208178
         250     1.15266     1.27642   0.0207405
         251      1.1548     1.27593   0.0206635
         252     1.15676     1.27546   0.0205869
         253     1.15853       1.275   0.0205108
         254     1.16013     1.27455    0.020435
         255     1.16156      1.2741   0.0203596
         256     1.16283     1.27367   0.0202848
         257     1.16393     1.27324   0.0202103
         258     1.16487     1.27282   0.0201364
         259     1.16567     1.27241   0.0200629
         260     1.16634       1.272   0.0199898
         261     1.16688      1.2716   0.0199173
         262      1.1673      1.2712   0.0198453
         263     1.16761     1.27081   0.0197737
         264     1.16782     1.27042   0.0197027
         265     1.16793     1.27003   0.0196321
         266     1.16797     1.26964   0.0195621
         267     1.16792     1.26926   0.0194925
         268     1.16781     1.26889   0.0194234
         269     1.16763     1.26851   0.0193549
         270      1.1674     1.26813   0.0192868
         271     1.16711     1.26776   0.0192193
         272     1.16678     1.26739   0.0191522
         273     1.16641     1.26702   0.0190856
         274       1.166     1.26665   0.0190195
         275     1.16556     1.26628   0.0189539
         276     1.16509     1.26592   0.0188888
         277     1.16459     1.26555   0.0188241
         278     1.16406     1.26519   0.0187599
         279     1.16351     1.26482   0.0186962
         280     1.16294     1.26446    0.018633
         281     1.16233     1.26409   0.0185702
         282     1.16171     1.26373   0.0185079
         283     1.16105     1.26337   0.0184461
         284     1.16037     1.26301   0.0183847
         285     1.15965     1.26264   0.0183238
         286      1.1589     1.26228   0.0182633
