#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.044516    0.044516           0
           2    0.042298    0.043407 0.000784181
           3    0.043864   0.0435593  0.00053738
           4    0.038182    0.042215  0.00123202
           5    0.037808   0.0413336  0.00126211
           6    0.030508   0.0395293  0.00195423
           7     0.03298   0.0385937  0.00188577
           8    0.041594   0.0389688  0.00168693
           9     0.04683   0.0398422  0.00171075
          10    0.040646   0.0399226  0.00154156
          11    0.034946   0.0394702  0.00146631
          12    0.035742   0.0391595  0.00137663
          13    0.044614   0.0395791  0.00133315
          14    0.043544   0.0398623  0.00126765
          15    0.033954   0.0394684  0.00124283
          16    0.046674   0.0399188  0.00124407
          17    0.039802   0.0399119  0.00117091
          18     0.03983   0.0399073  0.00110587
          19    0.037174   0.0397635  0.00105698
          20    0.033196   0.0394351  0.00105391
          21    0.031646   0.0390642  0.00106699
          22    0.023704    0.038366  0.00122582
          23    0.044024    0.038612  0.00119696
          24    0.044244   0.0388467  0.00116986
          25    0.035724   0.0387218  0.00112971
          26    0.021208   0.0380482  0.00127132
          27     0.04625   0.0383519  0.00126001
          28    0.028678   0.0380064  0.00126149
          29     0.03721    0.037979  0.00121828
          30    0.036848   0.0379413  0.00117826
          31    0.026626   0.0375763  0.00119545
          32    0.045762   0.0378321  0.00118515
          33     0.03393   0.0377138  0.00115512
          34    0.031014   0.0375168  0.00113783
          35    0.035366   0.0374553  0.00110697
          36     0.04136   0.0375638  0.00108153
          37    0.031804   0.0374081  0.00106344
          38    0.035018   0.0373452  0.00103731
          39    0.038966   0.0373868  0.00101155
          40    0.048676    0.037669  0.00102488
          41    0.037764   0.0376713 0.000999881
          42    0.031046   0.0375136 0.000988439
          43     0.03737   0.0375102 0.000965458
          44    0.048074   0.0377503 0.000972909
          45    0.044874   0.0379086 0.000964082
          46    0.039014   0.0379327 0.000943423
          47    0.042424   0.0380282 0.000928177
          48    0.051114   0.0383008 0.000948032
          49    0.037972   0.0382941 0.000928708
          50     0.03739    0.038276  0.00091031
