#   N_BLOCK:  ACCEPTANCE:
           1    0.279567
           2    0.278431
           3    0.278649
           4    0.278834
           5    0.278802
           6    0.279082
           7    0.279065
           8    0.279373
           9    0.279597
          10    0.279567
          11    0.279521
          12    0.279482
          13    0.279281
          14    0.279364
          15    0.279277
          16    0.279209
          17    0.279301
          18    0.279369
          19    0.279265
          20    0.279297
          21    0.279303
          22    0.279304
          23    0.279352
          24    0.279437
          25    0.279294
          26    0.279238
          27    0.279286
          28    0.279296
          29    0.279338
          30    0.279282
          31    0.279321
          32    0.279288
          33    0.279275
          34    0.279276
          35    0.279297
          36    0.279338
          37    0.279322
          38    0.279288
          39    0.279335
          40    0.279342
          41    0.279358
          42    0.279375
          43    0.279416
          44    0.279455
          45     0.27945
          46     0.27947
          47    0.279487
          48     0.27951
          49    0.279496
          50     0.27949
