#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      5.7012      5.7012           0
           2     5.80854     5.75487   0.0379485
           3     5.77612     5.76196   0.0259518
           4     5.42847     5.67858   0.0747786
           5     5.32547     5.60796   0.0869988
           6     5.55087     5.59845   0.0730176
           7     5.58841     5.59701   0.0626006
           8     5.61929      5.5998   0.0548374
           9     5.70745     5.61176   0.0500319
          10     5.58026     5.60861   0.0451278
          11       5.638     5.61128   0.0411042
          12     5.44316     5.59727   0.0399953
          13     5.66596     5.60255   0.0372661
          14     5.72105     5.61102   0.0355525
          15     5.43999     5.59962    0.034963
          16     5.59741     5.59948   0.0327781
          17     5.47317     5.59205   0.0316808
          18     5.54969      5.5897    0.030008
          19     5.89921     5.60599   0.0325513
          20     5.68169     5.60977   0.0311431
          21     5.41321     5.60041   0.0310348
          22     5.56349     5.59873   0.0296695
          23      5.5505     5.59664   0.0284535
          24     5.39127     5.58808   0.0285256
          25     5.67886     5.59171   0.0276148
          26     5.75605     5.59803   0.0272664
          27     5.71244     5.60227   0.0265838
          28     5.54032     5.60006   0.0257263
          29     5.59276      5.5998   0.0248404
          30      5.6836      5.6026   0.0241689
          31     5.65312     5.60423   0.0234442
          32     5.59848     5.60405   0.0227122
          33      5.5425     5.60218   0.0221004
          34     5.90181       5.611   0.0231409
          35      5.3728     5.60419   0.0234591
          36     5.45343         5.6   0.0231782
          37     5.68799     5.60238   0.0226734
          38     5.39979     5.59705   0.0226949
          39     5.47078     5.59381   0.0223428
          40     5.47761     5.59091   0.0219722
          41      5.4548     5.58759   0.0216856
          42     5.31745     5.58115   0.0221026
          43     5.75694     5.58524   0.0219634
          44     5.76615     5.58935   0.0218456
          45     5.68407     5.59146   0.0214613
          46     5.61829     5.59204   0.0210027
          47     5.55764     5.59131   0.0205686
          48     5.38583     5.58703   0.0205808
          49     5.62396     5.58778   0.0201745
          50     5.73901     5.59081   0.0199965
