#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.70511      2.1285   0.0439125
         169     1.70645     2.12601   0.0437237
         170     1.70784     2.12355   0.0435356
         171     1.70926     2.12112   0.0433484
         172     1.71068     2.11874    0.043162
         173     1.71208     2.11639   0.0429764
         174     1.71343     2.11407   0.0427918
         175     1.71471     2.11179   0.0426081
         176     1.71589     2.10954   0.0424253
         177     1.71694     2.10732   0.0422436
         178     1.71784     2.10513   0.0420629
         179     1.71856     2.10297   0.0418833
         180     1.71908     2.10084   0.0417049
         181     1.71939     2.09873   0.0415277
         182     1.71948     2.09665   0.0413518
         183     1.71933     2.09459   0.0411772
         184     1.71894     2.09255    0.041004
         185     1.71832     2.09052   0.0408322
         186     1.71747     2.08852   0.0406619
         187     1.71639     2.08653   0.0404931
         188     1.71511     2.08455   0.0403259
         189     1.71363     2.08259   0.0401602
         190     1.71197     2.08064   0.0399962
         191     1.71016      2.0787   0.0398338
         192     1.70822     2.07677   0.0396731
         193     1.70617     2.07485   0.0395139
         194     1.70403     2.07294   0.0393565
         195     1.70184     2.07104   0.0392006
         196     1.69961     2.06914   0.0390464
         197     1.69737     2.06725   0.0388938
         198     1.69514     2.06537   0.0387427
         199     1.69294      2.0635   0.0385932
         200      1.6908     2.06164   0.0384452
         201     1.68874     2.05978   0.0382987
         202     1.68676     2.05794   0.0381536
         203      1.6849      2.0561   0.0380099
         204     1.68315     2.05427   0.0378675
         205     1.68155     2.05245   0.0377264
         206     1.68009     2.05065   0.0375865
         207     1.67879     2.04885   0.0374478
         208     1.67767     2.04706   0.0373103
         209     1.67672     2.04529   0.0371738
         210     1.67596     2.04353   0.0370384
         211      1.6754     2.04179   0.0369039
         212     1.67505     2.04006   0.0367704
         213     1.67492     2.03835   0.0366377
         214     1.67501     2.03665   0.0365058
         215     1.67536     2.03497   0.0363747
         216     1.67595      2.0333   0.0362442
         217     1.67681     2.03166   0.0361144
         218     1.67795     2.03004   0.0359852
         219     1.67938     2.02844   0.0358565
         220     1.68112     2.02686   0.0357282
         221     1.68317      2.0253   0.0356004
         222     1.68554     2.02377   0.0354729
         223     1.68823     2.02227   0.0353457
         224     1.69125     2.02079   0.0352188
         225     1.69461     2.01934   0.0350921
         226     1.69829     2.01792   0.0349656
         227     1.70227     2.01653   0.0348392
         228     1.70656     2.01517   0.0347129
         229     1.71112     2.01384   0.0345867
         230     1.71594     2.01255   0.0344606
         231     1.72098     2.01129   0.0343345
         232     1.72622     2.01006   0.0342085
         233     1.73161     2.00886   0.0340825
         234     1.73713      2.0077   0.0339566
         235     1.74273     2.00657   0.0338309
         236     1.74836     2.00548   0.0337052
         237     1.75399     2.00442   0.0335797
         238     1.75957     2.00339   0.0334544
         239     1.76507     2.00239   0.0333292
         240     1.77045     2.00143   0.0332044
         241     1.77568     2.00049   0.0330798
         242     1.78073     1.99958   0.0329556
         243     1.78557      1.9987   0.0328317
         244     1.79017     1.99785   0.0327083
         245     1.79453     1.99702   0.0325853
         246     1.79862     1.99621   0.0324628
         247     1.80243     1.99542   0.0323409
         248     1.80596     1.99466   0.0322195
         249      1.8092     1.99392   0.0320987
         250     1.81216     1.99319   0.0319785
         251     1.81484     1.99248    0.031859
         252     1.81724     1.99178   0.0317402
         253     1.81937      1.9911    0.031622
         254     1.82125     1.99043   0.0315046
         255     1.82287     1.98978   0.0313879
         256     1.82426     1.98913    0.031272
