#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.297924    0.297924           0
           2    0.289356     0.29364  0.00302925
           3    0.325074    0.304118  0.00879037
           4    0.293414    0.301442  0.00698824
           5     0.23533     0.28822   0.0130813
           6    0.264806    0.284317   0.0114684
           7    0.274114     0.28286  0.00992222
           8     0.33599    0.289501   0.0106756
           9    0.294828    0.290093  0.00950586
          10    0.282418    0.289325   0.0085862
          11    0.307412     0.29097  0.00796151
          12     0.31952    0.293349  0.00764529
          13     0.28472    0.292685  0.00708595
          14    0.317186    0.294435  0.00679248
          15    0.263274    0.292358  0.00664974
          16    0.246174    0.289471  0.00683195
          17    0.276492    0.288708  0.00647259
          18    0.294202    0.289013  0.00612019
          19    0.259072    0.287437  0.00599752
          20    0.286264    0.287379  0.00569793
          21     0.30703    0.288314  0.00550291
          22     0.29967     0.28883  0.00527693
          23     0.31946    0.290162  0.00521283
          24     0.33152    0.291885  0.00527277
          25    0.326554    0.293272  0.00524105
          26    0.306112    0.293766  0.00506268
          27    0.302012    0.294071  0.00488438
          28    0.316496    0.294872  0.00477514
          29    0.373262    0.297575  0.00532084
          30    0.320856    0.298351  0.00519976
          31    0.260108    0.297118   0.0051763
          32    0.304378    0.297345  0.00501951
          33    0.333164     0.29843  0.00498338
          34    0.253782    0.297117  0.00500684
          35    0.286684    0.296819  0.00487265
          36    0.292544      0.2967  0.00473875
          37    0.244794    0.295297  0.00481385
          38     0.31599    0.295842  0.00471787
          39    0.292896    0.295766   0.0045975
          40    0.385358    0.298006  0.00499847
          41     0.31687    0.298466  0.00489768
          42    0.279796    0.298022   0.0048012
          43     0.25528    0.297028  0.00479133
          44    0.320814    0.297568  0.00471284
          45    0.293114    0.297469  0.00460915
          46    0.313938    0.297827  0.00452283
          47     0.26243    0.297074  0.00448887
          48    0.322206    0.297598  0.00442578
          49     0.27948    0.297228  0.00435088
          50     0.29695    0.297222  0.00426386
