# VELOCITY:     BLOCK_POFV:
2.325 0.293086
2.475 0.223827
2.625 0.405247
2.775 0.240679
2.925 0.197099
3.075 0.184444
3.225 0.126914
3.375 0.0738272
3.525 0.11216
3.675 0.0467284
3.825 0.00037037
3.975 0.00481481
4.125 0.00444444
4.275 0
4.425 0
4.575 0
4.725 0
4.875 0
5.025 0
5.175 0
5.325 0
5.475 0
5.625 0
5.775 0
5.925 0

0.075 0
0.225 0.00783951
0.375 0.050679
0.525 0.0741975
0.675 0.132531
0.825 0.198519
0.975 0.292901
1.125 0.477284
1.275 0.436111
1.425 0.448086
1.575 0.562963
1.725 0.518827
1.875 0.590309
2.025 0.504321
2.175 0.42679
2.325 0.281728
2.475 0.253704
2.625 0.456111
2.775 0.322407
2.925 0.176481
3.075 0.11463
3.225 0.0675926
3.375 0.129321
3.525 0.0795062
3.675 0.0438272
3.825 0.014321
3.975 0.00567901
4.125 0
4.275 0
4.425 0
4.575 0
4.725 0
4.875 0
5.025 0
5.175 0
5.325 0
5.475 0
5.625 0
5.775 0
5.925 0

0.075 0.000802469
0.225 0.0648148
0.375 0.0308025
0.525 0.075679
0.675 0.0881481
0.825 0.111481
0.975 0.313519
1.125 0.486111
1.275 0.599568
1.425 0.742469
1.575 0.620864
1.725 0.555556
1.875 0.529012
2.025 0.318333
2.175 0.268765
2.325 0.351914
2.475 0.173272
2.625 0.18037
2.775 0.267222
2.925 0.185926
3.075 0.282778
3.225 0.112901
3.375 0.0896296
3.525 0.0691358
3.675 0.0677778
3.825 0.0731481
3.975 0.00666667
4.125 0
4.275 0
4.425 0
4.575 0
4.725 0
4.875 0
5.025 0
5.175 0
5.325 0
5.475 0
5.625 0
5.775 0
5.925 0

0.075 0
0.225 0.0248765
0.375 0.0817901
0.525 0.12358
0.675 0.14142
0.825 0.252901
0.975 0.33216
1.125 0.588951
1.275 0.569877
1.425 0.642469
1.575 0.637716
1.725 0.505432
1.875 0.39963
2.025 0.259383
2.175 0.274136
2.325 0.215185
2.475 0.165123
2.625 0.270494
2.775 0.377778
2.925 0.127407
3.075 0.212037
3.225 0.111111
3.375 0.0833333
3.525 0.103704
3.675 0.0532099
3.825 0.0933951
3.975 0.0118519
4.125 0.00771605
4.275 0
4.425 0
4.575 0
4.725 0
4.875 0
5.025 0
