# VELOCITY:     AVE_POFV:        ERROR:
       2.175    0.350741   0.0317689
       2.325    0.350226   0.0170904
       2.475    0.416636   0.0776682
       2.625    0.392366   0.0819459
       2.775    0.296636   0.0427605
       2.925     0.27677   0.0399846
       3.075    0.223951   0.0308701
       3.225    0.137047   0.0312065
       3.375    0.186944   0.0213287
       3.525    0.115051   0.0231903
       3.675   0.0806481   0.0135347
       3.825    0.060823   0.0105684
       3.975   0.0453292  0.00915594
       4.125   0.0495782   0.0084516
       4.275   0.0220988  0.00514852
       4.425   0.0122737  0.00495461
       4.575  0.00618313  0.00348856
       4.725  0.00384774  0.00254253
       4.875  0.00218107  0.00149985
       5.025 0.000946502 0.000551284
       5.175 0.000740741 0.000517276
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
       5.925           0           0

       0.075   0.0037478  0.00230966
       0.225   0.0156702  0.00330744
       0.375   0.0549912  0.00995535
       0.525   0.0995679   0.0202413
       0.675    0.148351     0.01637
       0.825    0.226093   0.0392746
       0.975    0.272399   0.0408111
       1.125    0.301085   0.0263666
       1.275    0.386614   0.0402631
       1.425    0.445564    0.045903
       1.575    0.457302   0.0492294
       1.725     0.49866   0.0437864
       1.875    0.386287   0.0174646
       2.025    0.428633   0.0334962
       2.175    0.358139   0.0280788
       2.325    0.340212   0.0173366
       2.475     0.40239   0.0678667
       2.625    0.362328   0.0755444
       2.775    0.312196   0.0393813
       2.925    0.257654    0.038572
       3.075    0.216543   0.0273344
       3.225    0.130168   0.0274963
       3.375    0.184277   0.0184478
       3.525    0.117619   0.0200191
       3.675     0.07597   0.0123833
       3.825    0.057284  0.00963304
       3.975   0.0430511  0.00812641
       4.125   0.0424956  0.00977118
       4.275   0.0189418  0.00529314
       4.425   0.0105203  0.00454648
       4.575  0.00529982  0.00310001
       4.725  0.00329806  0.00223794
       4.875  0.00186949  0.00131755
       5.025 0.000811287  0.00048883
       5.175 0.000634921 0.000454074
       5.325           0           0
       5.475           0           0
       5.625           0           0
       5.775           0           0
       5.925           0           0

       0.075  0.00327932  0.00206791
