#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.93535     2.93535           0
           2     2.97488     2.95512   0.0139755
           3     2.90064     2.93696   0.0175108
           4     2.97122     2.94552   0.0150836
           5     3.00891      2.9582   0.0165582
           6     3.02009     2.96852   0.0167053
           7     3.12064     2.99025    0.024695
           8     3.08032     3.00151   0.0240383
           9     2.94701     2.99545   0.0221168
          10     2.86285     2.98219   0.0235471
          11     2.97892     2.98189   0.0214084
          12     2.98751     2.98236   0.0196295
          13     2.85673      2.9727   0.0203598
          14     2.96271     2.97199    0.018918
          15     2.98637     2.97294   0.0176811
          16     2.91351     2.96923   0.0169617
          17     2.99182     2.97056   0.0160159
          18     2.98977     2.97163   0.0151617
          19     2.84971     2.96521   0.0156627
          20     2.91936     2.96292   0.0150464
          21     2.85568     2.95781   0.0151718
          22     3.08393     2.96354   0.0155274
          23     3.01245     2.96567   0.0149972
          24     2.84063     2.96046   0.0152504
          25     2.96559     2.96066   0.0146418
          26     3.04921     2.96407   0.0144693
          27     3.01785     2.96606   0.0140698
          28     3.06897     2.96974   0.0140391
          29     2.84414     2.96541   0.0142074
          30     2.86978     2.96222   0.0140868
          31     3.01537     2.96393   0.0137364
          32     2.99985     2.96506   0.0133529
          33     2.80105     2.96009   0.0138423
          34      2.9194     2.95889   0.0134868
          35     3.09139     2.96267   0.0136224
          36     3.08879     2.96618    0.013687
          37     2.96603     2.96617   0.0133171
          38      2.8581     2.96333   0.0132669
          39     3.05471     2.96567    0.013132
          40     3.03245     2.96734   0.0129093
          41     2.94584     2.96682   0.0126051
          42     2.92687     2.96587   0.0123408
          43     3.12344     2.96953   0.0125861
          44     3.04639     2.97128   0.0124207
          45     2.98678     2.97162   0.0121495
          46     3.09951      2.9744   0.0121993
          47     2.87204     2.97222   0.0121326
          48     2.91968     2.97113   0.0119291
          49     2.98801     2.97147   0.0116907
          50     3.12802     2.97461   0.0118687
