# VELOCITY:     BLOCK_POFV:
1.47 0.57672
1.61 0.506085
1.75 0.401587
1.89 0.29418
2.03 0.157606
2.17 0.132606
2.31 0.0590608
2.45 0.0361111
2.59 0.0284392
2.73 0.0142196
2.87 0.00403439
3.01 0.00324074
3.15 0.00165344
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.019709
0.21 0.0994709
0.35 0.231151
0.49 0.409987
0.63 0.552646
0.77 0.685913
0.91 0.771296
1.05 0.727778
1.19 0.717791
1.33 0.628571
1.47 0.538757
1.61 0.442262
1.75 0.371561
1.89 0.29623
2.03 0.249802
2.17 0.171627
2.31 0.115344
2.45 0.0512566
2.59 0.0266534
2.73 0.0191138
2.87 0.0109127
3.01 0.00502646
3.15 0
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.00859788
0.21 0.0761905
0.35 0.173148
0.49 0.371825
0.63 0.542857
0.77 0.681614
0.91 0.736574
1.05 0.749339
1.19 0.727646
1.33 0.727513
1.47 0.624669
1.61 0.528505
1.75 0.413161
1.89 0.278704
2.03 0.205159
2.17 0.156944
2.31 0.0644841
2.45 0.0361772
2.59 0.0185847
2.73 0.0133598
2.87 0.00277778
3.01 0.00416667
3.15 0.000859788
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0150794
0.21 0.0778439
0.35 0.196296
0.49 0.367063
0.63 0.569511
0.77 0.743849
0.91 0.851323
1.05 0.762698
1.19 0.714749
1.33 0.669048
1.47 0.558069
1.61 0.493915
1.75 0.34537
1.89 0.263624
2.03 0.183069
2.17 0.117262
2.31 0.0896825
2.45 0.0507937
2.59 0.029828
2.73 0.0173942
2.87 0.011045
3.01 0.0117725
3.15 0.00357143
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.00674603
0.21 0.0767196
0.35 0.19418
0.49 0.35754
0.63 0.552579
0.77 0.652778
0.91 0.713558
1.05 0.753175
1.19 0.754762
1.33 0.67586
1.47 0.600331
1.61 0.531349
1.75 0.453638
1.89 0.299669
2.03 0.197354
2.17 0.124603
2.31 0.0732804
2.45 0.0570767
2.59 0.0412037
2.73 0.011045
2.87 0.00958995
3.01 0.0042328
3.15 0.0015873
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0175265
0.21 0.0771825
0.35 0.226058
0.49 0.385053
0.63 0.516336
0.77 0.707077
0.91 0.739749
1.05 0.696561
1.19 0.736971
1.33 0.713558
1.47 0.642989
1.61 0.489153
1.75 0.375
1.89 0.291931
2.03 0.176984
2.17 0.127712
2.31 0.0718254
2.45 0.0496693
2.59 0.0438492
2.73 0.0208995
2.87 0.0136905
3.01 0.00787037
3.15 0.00720899
3.29 0.00800265
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0142857
0.21 0.0925926
0.35 0.226058
0.49 0.377844
0.63 0.51918
0.77 0.624206
0.91 0.757275
1.05 0.748148
1.19 0.732738
1.33 0.706217
1.47 0.611905
1.61 0.576058
1.75 0.426257
1.89 0.25172
2.03 0.200132
2.17 0.10959
2.31 0.0791667
2.45 0.0513889
2.59 0.0165344
2.73 0.00601852
2.87 0.00727513
3.01 0.00634921
3.15 0.00191799
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0127646
0.21 0.0808201
0.35 0.266005
0.49 0.40754
0.63 0.523545
0.77 0.71164
0.91 0.775463
1.05 0.77586
1.19 0.734061
1.33 0.654365
1.47 0.609193
1.61 0.437434
1.75 0.365675
1.89 0.247751
2.03 0.183069
2.17 0.126323
2.31 0.0962963
2.45 0.0753968
2.59 0.0281746
2.73 0.0164683
2.87 0.00945767
3.01 0.00555556
3.15 0
3.29 0
3.43 0
3.57 0
3.71 0
3.85 0
3.99 0
4.13 0

0.07 0.0117725
0.21 0.123413
0.35 0.219378
0.49 0.39041
0.63 0.485185
0.77 0.631151
0.91 0.761905
