# VELOCITY:     AVE_POFV:        ERROR:
        1.19    0.760036   0.0212667
        1.33    0.686367   0.0103421
        1.47    0.589435   0.0109524
        1.61    0.507788    0.012123
        1.75    0.400198    0.010511
        1.89    0.300843  0.00889642
        2.03    0.206961  0.00825687
        2.17    0.134251  0.00460052
        2.31   0.0830109  0.00370157
        2.45    0.048917  0.00326304
        2.59   0.0309524  0.00367824
        2.73   0.0178406  0.00147048
        2.87   0.0110946  0.00145384
        3.01  0.00615079  0.00144579
        3.15  0.00244709  0.00100391
        3.29 0.000289352 0.000270664
        3.43           0           0
        3.57           0           0
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0103983  0.00146979
        0.21   0.0787331  0.00407746
        0.35    0.201117  0.00562413
        0.49     0.36261  0.00790374
        0.63    0.529946   0.0152556
        0.77    0.656055   0.0123995
        0.91    0.752153   0.0116778
        1.05    0.777094   0.0136934
        1.19    0.757099   0.0191056
        1.33    0.681092   0.0104522
        1.47    0.591057  0.00985483
        1.61    0.509818   0.0109446
        1.75     0.39756  0.00966849
        1.89    0.297619  0.00847206
        2.03    0.202844  0.00830266
        2.17    0.133451  0.00415834
        2.31     0.08398  0.00341479
        2.45   0.0493827  0.00293353
        2.59   0.0305482  0.00329168
        2.73   0.0185112  0.00145196
        2.87   0.0123751  0.00176848
        3.01  0.00641534  0.00130913
        3.15  0.00274103 0.000934409
        3.29 0.000257202 0.000242492
        3.43           0           0
        3.57           0           0
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0103638  0.00132322
        0.21   0.0792063  0.00369707
        0.35    0.200119  0.00514949
        0.49    0.359828  0.00758726
        0.63     0.52582   0.0142769
        0.77    0.659253   0.0115645
        0.91    0.759649     0.01269
        1.05    0.781468   0.0130039
        1.19      0.7583   0.0172328
        1.33    0.684636  0.00998979
        1.47    0.591481  0.00887849
        1.61     0.50586   0.0105416
        1.75    0.397712  0.00870283
        1.89    0.295007  0.00801753
        2.03    0.200291  0.00785508
        2.17    0.131918  0.00401512
        2.31    0.082123  0.00354243
        2.45   0.0492593  0.00264277
        2.59   0.0306349  0.00296365
        2.73   0.0191071  0.00142383
        2.87   0.0120437  0.00162239
        3.01  0.00607804  0.00122089
        3.15  0.00246693 0.000880253
        3.29 0.000231481 0.000219603
        3.43           0           0
        3.57           0           0
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0107985  0.00127233
        0.21   0.0818783   0.0042174
        0.35    0.204371  0.00619285
        0.49    0.363462  0.00771886
        0.63    0.524339   0.0130557
        0.77     0.65968   0.0105211
        0.91     0.75499   0.0123621
        1.05    0.781079   0.0118275
        1.19    0.757955   0.0156696
        1.33    0.682906  0.00923018
        1.47    0.597102  0.00968839
        1.61    0.503223  0.00990761
        1.75    0.393146  0.00903031
        1.89    0.294583  0.00729986
        2.03    0.201299  0.00720533
        2.17    0.131818  0.00365135
        2.31   0.0806818  0.00350131
        2.45   0.0489418  0.00242151
        2.59   0.0301106  0.00274021
        2.73   0.0184704  0.00142969
        2.87   0.0117184  0.00150716
        3.01  0.00653559  0.00119256
        3.15  0.00309043 0.000996883
        3.29 0.000679413 0.000471443
        3.43           0           0
        3.57           0           0
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0114418  0.00131896
        0.21   0.0819389  0.00386639
        0.35    0.205236  0.00573684
        0.49    0.362009  0.00721099
        0.63    0.524509   0.0119688
        0.77     0.65787  0.00979872
        0.91    0.749427   0.0125214
        1.05    0.781608   0.0108538
        1.19    0.761194   0.0146948
        1.33    0.685918  0.00893887
        1.47    0.601725  0.00992294
        1.61    0.504249  0.00913501
        1.75    0.392631  0.00829243
        1.89    0.292852  0.00689374
        2.03    0.201141  0.00660662
        2.17    0.130886  0.00346396
        2.31   0.0788029  0.00367929
        2.45   0.0490796  0.00222363
        2.59   0.0310626  0.00267211
        2.73   0.0178792  0.00142757
        2.87    0.011304  0.00143739
        3.01   0.0066358  0.00109739
        3.15  0.00283289 0.000946491
        3.29 0.000622795 0.000435542
        3.43           0           0
        3.57           0           0
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0116453   0.0012331
        0.21   0.0825142  0.00361152
        0.35    0.204645   0.0053259
        0.49    0.363609  0.00683141
        0.63    0.526465   0.0112068
        0.77    0.661818  0.00980809
        0.91    0.746362   0.0119273
        1.05    0.778103   0.0105696
        1.19    0.765873     0.01429
        1.33    0.688283  0.00855847
        1.47    0.599802  0.00934421
        1.61    0.504391  0.00843341
        1.75     0.39332  0.00768312
        1.89    0.292954  0.00636421
        2.03    0.197792  0.00689513
        2.17    0.131019  0.00320003
        2.31   0.0772843  0.00369641
        2.45    0.048082  0.00226533
        2.59   0.0308608  0.00247418
        2.73   0.0175977  0.00134523
        2.87   0.0107448  0.00143147
        3.01  0.00637464  0.00104358
        3.15  0.00274217 0.000878022
        3.29 0.000574888 0.000404665
        3.43           0           0
        3.57           0           0
        3.71           0           0
        3.85           0           0
        3.99           0           0
        4.13           0           0

        0.07   0.0122213  0.00127245
        0.21   0.0837254  0.00355085
        0.35    0.206538  0.00527127
        0.49    0.366922  0.00710137
        0.63    0.528335   0.0105612
        0.77    0.663539  0.00925727
        0.91    0.748143   0.0112076
        1.05    0.774509    0.010408
        1.19    0.762439   0.0136758
        1.33    0.684018  0.00894703
        1.47    0.595441  0.00964058
        1.61    0.499953  0.00892255
        1.75    0.391766  0.00728984
        1.89    0.293188  0.00591392
        2.03    0.201507  0.00733544
        2.17    0.133919  0.00407947
        2.31   0.0800028  0.00431785
        2.45   0.0483088  0.00211484
        2.59   0.0305603  0.00231563
        2.73    0.017706  0.00125349
        2.87   0.0107568  0.00132927
        3.01  0.00627834 0.000973476
        3.15   0.0025463 0.000836868
        3.29 0.000533825 0.000377838
        3.43           0           0
        3.57           0           0
