#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.155012    0.155012           0
           2    0.158878    0.156945  0.00136684
           3    0.165842    0.159911  0.00258723
           4    0.119732    0.149866  0.00891273
           5     0.12311    0.144515  0.00858765
           6     0.16347    0.147674  0.00771562
           7    0.131972    0.145431   0.0069318
           8    0.193186      0.1514  0.00824425
           9    0.147452    0.150962  0.00733988
          10     0.14405     0.15027  0.00663836
          11    0.135888    0.148963  0.00616228
          12    0.151974    0.149214  0.00565387
          13    0.164558    0.150394  0.00534074
          14    0.162998    0.151294  0.00503456
          15    0.141928     0.15067  0.00473749
          16    0.136538    0.149787  0.00452298
          17     0.12609    0.148393  0.00446656
          18    0.141068    0.147986  0.00423691
          19    0.132438    0.147168  0.00409218
          20    0.133614     0.14649  0.00394328
          21     0.16442    0.147344  0.00384683
          22    0.118944    0.146053  0.00388254
          23    0.162598    0.146772  0.00377978
          24    0.174518    0.147928  0.00379497
          25    0.151946    0.148089  0.00364658
          26    0.127198    0.147285  0.00359376
          27     0.15133    0.147435  0.00346377
          28    0.149998    0.147527  0.00334128
          29    0.148186     0.14755  0.00322614
          30    0.140158    0.147303  0.00312799
          31    0.141598    0.147119   0.0030325
          32    0.172266    0.147905  0.00303785
          33    0.134118    0.147487  0.00297438
          34      0.1267    0.146876  0.00294907
          35    0.117014    0.146023  0.00298568
          36    0.138812    0.145822  0.00290945
          37     0.11869    0.145089  0.00292177
          38    0.139858    0.144951  0.00284812
          39    0.140714    0.144843  0.00277716
          40    0.195872    0.146118  0.00298641
          41     0.15449    0.146323  0.00292054
          42    0.142942    0.146242  0.00285211
          43     0.16051    0.146574  0.00280502
          44    0.161392    0.146911  0.00276141
          45    0.172246    0.147474  0.00275685
          46    0.125562    0.146997  0.00273776
          47    0.166112    0.147404  0.00270955
          48    0.168128    0.147836  0.00268727
          49    0.158666    0.148057  0.00264151
          50    0.120384    0.147503  0.00264602
