# generation best_length mean_best_half
266 4.76839 5.85818
267 4.76839 5.8609
268 4.76839 5.93034
269 4.76839 5.8899
270 4.76839 5.92456
271 4.76839 5.94209
272 4.76839 5.92321
273 4.76839 5.92486
274 4.76839 5.95914
275 4.76839 5.88292
276 4.76839 5.87004
277 4.76839 5.81481
278 4.76839 5.79753
279 4.76839 5.77106
280 4.76839 5.80054
281 4.76839 5.80391
282 4.76839 5.76304
283 4.76839 5.72415
284 4.76839 5.77498
285 4.76839 5.85265
286 4.76839 5.80024
287 4.76839 5.83166
288 4.76839 5.79339
289 4.76839 5.84229
290 4.76839 5.77532
291 4.76839 5.78455
292 4.76839 5.67799
293 4.76839 5.67056
294 4.76839 5.71666
295 4.76839 5.60435
296 4.76839 5.63356
297 4.76839 5.66353
298 4.76839 5.69934
299 4.76839 5.73185
300 4.76839 5.7705
301 4.76839 5.71822
302 4.76839 5.72934
303 4.76839 5.72589
304 4.76839 5.67474
305 4.76839 5.74119
306 4.76839 5.6817
307 4.76839 5.71658
308 4.76839 5.79716
309 4.76839 5.74411
310 4.76839 5.87929
311 4.76839 5.97445
312 4.76839 5.9252
313 4.76839 5.85146
314 4.76839 5.89713
315 4.76839 5.86532
316 4.76839 5.83968
317 4.76839 5.78208
318 4.76839 5.85412
319 4.76839 5.76198
320 4.76839 5.85455
321 4.76839 5.84018
322 4.76839 5.91887
323 4.76839 5.95839
324 4.76839 5.93609
325 4.76839 5.9635
326 4.76839 5.95348
327 4.76839 5.87785
328 4.76839 5.92118
329 4.76839 5.87008
330 4.76839 5.87194
331 4.76839 5.93988
332 4.76839 5.86211
333 4.76839 5.78644
334 4.76839 5.86074
335 4.76839 5.95279
336 4.76839 5.88073
337 4.76839 5.89464
338 4.76839 5.90334
339 4.76839 5.85337
340 4.76839 5.90979
341 4.76839 5.90092
342 4.76839 5.85355
343 4.76839 5.86252
344 4.76839 5.8575
345 4.76839 5.9035
346 4.76839 5.93394
347 4.76839 5.91392
348 4.76839 5.99679
349 4.76839 5.98189
350 4.76839 5.97183
351 4.76839 5.9362
352 4.76839 5.99653
353 4.76839 5.95334
354 4.76839 5.98937
355 4.76839 5.83501
356 4.76839 5.78556
357 4.76839 5.73838
358 4.76839 5.75151
359 4.76839 5.78702
360 4.76839 5.76751
361 4.76839 5.83127
362 4.76839 5.8761
363 4.76839 5.87736
364 4.76839 5.81921
365 4.76839 5.76897
366 4.76839 5.81514
367 4.76839 5.86722
368 4.76839 5.82748
369 4.76839 5.76952
370 4.76839 5.80074
371 4.76839 5.8185
372 4.76839 5.72346
373 4.76839 5.74118
374 4.76839 5.75221
375 4.76839 5.73216
376 4.76839 5.73743
377 4.76839 5.81658
378 4.76839 5.78813
379 4.76839 5.78206
380 4.76839 5.77818
381 4.76839 5.7836
382 4.76839 5.92839
383 4.76839 5.99241
384 4.76839 6.01757
385 4.76839 5.88692
386 4.76839 5.86189
387 4.76839 5.90418
388 4.76839 5.90017
389 4.76839 5.91674
390 4.76839 5.95717
391 4.76839 5.80981
392 4.76839 5.75881
393 4.76839 5.76984
394 4.76839 5.63704
395 4.76839 5.72427
396 4.76839 5.63045
397 4.76839 5.62472
398 4.76839 5.64886
399 4.76839 5.66122
400 4.76839 5.61952
401 4.76839 5.59582
402 4.76839 5.67996
403 4.76839 5.73931
404 4.76839 5.73145
405 4.76839 5.66776
406 4.76839 5.81119
407 4.76839 5.82274
408 4.76839 5.85909
409 4.76839 5.94945
410 4.76839 6.00282
411 4.76839 6.04049
412 4.76839 6.07714
413 4.76839 6.09606
414 4.76839 5.97307
415 4.76839 5.92977
416 4.76839 5.95082
417 4.76839 5.91572
418 4.76839 5.89294
419 4.76839 5.76483
420 4.76839 5.79125
421 4.76839 5.76865
422 4.76839 5.7365
423 4.76839 5.8143
424 4.76839 5.84778
425 4.76839 5.90729
426 4.76839 5.91966
427 4.76839 5.8466
428 4.76839 5.89033
429 4.76839 5.86881
430 4.76839 5.93417
431 4.76839 5.93533
432 4.76839 5.9581
433 4.76839 5.96801
434 4.76839 6.03535
435 4.76839 5.98221
436 4.76839 6.02811
437 4.76839 5.92547
438 4.76839 5.89581
439 4.76839 5.8355
440 4.76839 5.81486
441 4.76839 5.78163
442 4.76839 5.86008
443 4.76839 5.76669
444 4.76839 5.74331
445 4.76839 5.7951
446 4.76839 5.85102
447 4.76839 5.80025
448 4.76839 5.77483
449 4.76839 5.85609
450 4.76839 5.83954
451 4.76839 5.85536
452 4.76839 5.86721
453 4.76839 5.85033
454 4.76839 5.81604
455 4.76839 5.93397
456 4.76839 5.93894
457 4.76839 6.04973
458 4.76839 6.1015
459 4.76839 6.04846
460 4.76839 6.06761
461 4.76839 6.01094
462 4.76839 6.05568
463 4.76839 6.04612
464 4.76839 6.02789
465 4.76839 5.91803
466 4.76839 5.78989
467 4.76839 5.77297
468 4.76839 5.8057
469 4.76839 5.84657
470 4.76839 5.80214
471 4.76839 5.82415
472 4.76839 6.00156
473 4.76839 5.91801
474 4.76839 5.8668
475 4.76839 5.83315
476 4.76839 5.80867
477 4.76839 5.75419
478 4.76839 5.71351
479 4.76839 5.68527
480 4.76839 5.69829
481 4.76839 5.67567
482 4.76839 5.69702
483 4.76839 5.59537
484 4.76839 5.58052
485 4.76839 5.5859
486 4.76839 5.62181
487 4.76839 5.6723
488 4.76839 5.71346
489 4.76839 5.74396
490 4.76839 5.73483
491 4.76839 5.89461
492 4.76839 5.81089
493 4.76839 5.87822
494 4.76839 5.83401
495 4.76839 5.96798
496 4.76839 6.0475
497 4.76839 6.03269
498 4.76839 6.09165
499 4.76839 6.1224
500 4.76839 6.13617
501 4.76839 6.18858
502 4.76839 6.09827
503 4.76839 6.08559
504 4.76839 5.95424
505 4.76839 5.88386
506 4.76839 5.92918
507 4.76839 5.98992
508 4.76839 5.93494
509 4.76839 5.97432
510 4.76839 5.9982
511 4.76839 6.00559
512 4.76839 6.04357
513 4.76839 6.12906
514 4.76839 6.12211
515 4.76839 6.0286
516 4.76839 5.92704
517 4.76839 5.86583
518 4.76839 5.89342
519 4.76839 5.99956
520 4.76839 5.9951
521 4.76839 5.97511
522 4.76839 6.08776
523 4.76839 6.16491
524 4.76839 6.07304
525 4.76839 6.01397
526 4.76839 5.86501
527 4.76839 5.90092
528 4.76839 5.9151
529 4.76839 5.92532
530 4.76839 5.85544
531 4.76839 5.8037
532 4.76839 5.78868
533 4.76839 5.7372
534 4.76839 5.72707
535 4.76839 5.75924
536 4.76839 5.81336
537 4.76839 5.89383
538 4.76839 5.83614
539 4.76839 5.76608
540 4.76839 5.70034
541 4.76839 5.73847
542 4.76839 5.79749
543 4.76839 5.90627
544 4.76839 5.94284
545 4.76839 5.91863
546 4.76839 6.04028
547 4.76839 6.04055
548 4.76839 6.03245
549 4.76839 5.95415
550 4.76839 5.90553
551 4.76839 5.80759
552 4.76839 5.81862
553 4.76839 5.86756
554 4.76839 5.86675
555 4.76839 5.85355
556 4.76839 5.84537
557 4.76839 5.94071
558 4.76839 5.93559
559 4.76839 5.98841
560 4.76839 6.08116
561 4.76839 6.03116
562 4.76839 6.03159
563 4.76839 5.99887
564 4.76839 5.96839
565 4.76839 5.90123
566 4.76839 5.82236
567 4.76839 5.7477
568 4.76839 5.83574
569 4.76839 5.80863
570 4.76839 5.73338
571 4.76839 5.73742
572 4.76839 5.73497
573 4.76839 5.76262
574 4.76839 5.8153
575 4.76839 5.86191
576 4.76839 5.82235
577 4.76839 5.83292
578 4.76839 5.85491
579 4.76839 5.81017
580 4.76839 5.8452
581 4.76839 5.84804
582 4.76839 5.9366
583 4.76839 5.96339
584 4.76839 5.99432
585 4.76839 6.04475
586 4.76839 6.10262
587 4.76839 5.99667
588 4.76839 5.87881
589 4.76839 5.98141
590 4.76839 6.00527
591 4.76839 5.93618
592 4.76839 5.96391
593 4.76839 6.03318
594 4.76839 5.93234
595 4.76839 5.94434
596 4.76839 5.99764
597 4.76839 5.94555
598 4.76839 5.82329
599 4.76839 5.81168
600 4.76839 5.91012
601 4.76839 5.91092
602 4.76839 5.90283
603 4.76839 5.99297
604 4.76839 5.91265
605 4.76839 5.81443
606 4.76839 5.90654
607 4.76839 5.79282
608 4.76839 5.81835
609 4.76839 5.77466
610 4.76839 5.79322
611 4.76839 5.75681
612 4.76839 5.78738
613 4.76839 5.85213
614 4.76839 5.93873
615 4.76839 5.88564
616 4.76839 5.87346
617 4.76839 5.87778
618 4.76839 5.95506
619 4.76839 6.00603
620 4.76839 5.99162
621 4.76839 5.90986
622 4.76839 5.9096
623 4.76839 5.74798
624 4.76839 5.81217
625 4.76839 5.86645
626 4.76839 5.76503
627 4.76839 5.73676
628 4.76839 5.76616
629 4.76839 5.83596
630 4.76839 5.86267
631 4.76839 5.97602
632 4.76839 5.94573
633 4.76839 5.93176
634 4.76839 5.9263
635 4.76839 5.99624
636 4.76839 5.93258
637 4.76839 5.91591
638 4.76839 5.77859
639 4.76839 5.78376
640 4.76839 5.82723
641 4.76839 5.84234
642 4.76839 5.96527
643 4.76839 5.92814
644 4.76839 6.01101
645 4.76839 5.94709
646 4.76839 5.89665
647 4.76839 5.78508
648 4.76839 5.6816
649 4.76839 5.68843
650 4.76839 5.77246
651 4.76839 5.85831
652 4.76839 5.81695
653 4.76839 5.94591
654 4.76839 5.90415
655 4.76839 5.93159
656 4.76839 5.86395
657 4.76839 5.82288
658 4.76839 5.83139
659 4.76839 5.77447
660 4.76839 5.78129
661 4.76839 5.67385
662 4.76839 5.64087
663 4.76839 5.67694
664 4.76839 5.72417
665 4.76839 5.79624
666 4.76839 5.77044
667 4.76839 5.62768
668 4.76839 5.61005
669 4.76839 5.58615
670 4.76839 5.61667
671 4.76839 5.56564
672 4.76839 5.61677
673 4.76839 5.61746
674 4.76839 5.73099
675 4.76839 5.69453
676 4.76839 5.79114
677 4.76839 5.82239
678 4.76839 5.87925
679 4.76839 5.90078
680 4.76839 5.9133
681 4.76839 5.86651
682 4.76839 5.91044
683 4.76839 5.9242
684 4.76839 5.83177
685 4.76839 5.83272
686 4.76839 5.82772
687 4.76839 5.93573
688 4.76839 5.98156
689 4.76839 5.79052
690 4.76839 5.73638
691 4.76839 5.7376
692 4.76839 5.76255
693 4.76839 5.7986
694 4.76839 5.75233
695 4.76839 5.77012
696 4.76839 5.7466
697 4.76839 5.84254
698 4.76839 5.86271
699 4.76839 5.72417
700 4.76839 5.76762
701 4.76839 5.91765
702 4.76839 5.86523
703 4.76839 5.89563
704 4.76839 5.88642
705 4.76839 5.86907
706 4.76839 5.94417
707 4.76839 5.8159
708 4.76839 5.80565
709 4.76839 5.75047
710 4.76839 5.76137
