#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.03965     0.03965           0
           2    0.035656    0.037653  0.00141209
           3    0.043018   0.0394413  0.00173733
           4    0.043486   0.0404525  0.00156992
           5    0.038962   0.0401544  0.00128393
           6    0.042164   0.0404893  0.00111277
           7    0.038696   0.0402331 0.000982849
           8    0.043392    0.040628 0.000935955
           9     0.04007    0.040566 0.000834011
          10    0.030882   0.0395976  0.00118635
          11    0.038372   0.0394862  0.00108372
          12    0.030564   0.0387427  0.00122214
          13     0.04227    0.039014  0.00115785
          14    0.041436    0.039187    0.001088
          15    0.040138   0.0392504  0.00101731
          16    0.034202   0.0389349  0.00100146
          17    0.032898   0.0385798  0.00100354
          18    0.039264   0.0386178 0.000948508
          19    0.039652   0.0386722 0.000900147
          20     0.03402   0.0384396 0.000884684
          21    0.045062    0.038755 0.000897002
          22    0.035136   0.0385905 0.000871182
          23    0.033942   0.0383883 0.000856427
          24    0.043968   0.0386208 0.000851714
          25    0.039924    0.038673 0.000819239
          26    0.038872   0.0386806 0.000787765
          27    0.032876   0.0384656 0.000787378
          28    0.035782   0.0383698 0.000765068
          29    0.034086   0.0382221 0.000752812
          30    0.045632   0.0384691 0.000767169
          31    0.032166   0.0382657 0.000768893
          32    0.040378   0.0383318 0.000747694
          33    0.041176   0.0384179 0.000729987
          34    0.030376   0.0381814 0.000745852
          35     0.03553   0.0381057 0.000728379
          36    0.039508   0.0381446 0.000709187
          37    0.044588   0.0383188  0.00071108
          38     0.04251   0.0384291 0.000700869
          39    0.039404   0.0384541 0.000683344
          40    0.038804   0.0384628 0.000666316
          41    0.034456   0.0383651 0.000657192
          42     0.03914   0.0383835 0.000641804
          43    0.030734   0.0382056 0.000651066
          44    0.035352   0.0381408 0.000639491
          45    0.045616   0.0383069 0.000646496
          46    0.037182   0.0382824 0.000632904
          47     0.03399   0.0381911 0.000625993
          48    0.035742   0.0381401 0.000615027
          49    0.040502   0.0381883 0.000604361
          50    0.032134   0.0380672 0.000604282
