#   N_BLOCK:  ACCEPTANCE:
           1    0.465623
           2    0.466957
           3    0.466401
           4    0.466198
           5    0.466258
           6    0.466656
           7    0.466608
           8    0.466639
           9    0.466891
          10    0.466896
          11    0.466908
          12    0.466917
          13    0.466926
          14    0.466914
          15    0.466906
          16    0.466878
          17    0.466884
          18    0.466815
          19    0.466699
          20    0.466638
          21    0.466602
          22     0.46664
          23     0.46673
          24    0.466741
          25     0.46675
          26     0.46681
          27    0.466854
          28    0.466861
          29    0.466847
          30    0.466878
          31    0.466868
          32     0.46689
          33    0.466887
          34    0.466868
          35    0.466842
          36    0.466809
          37    0.466785
          38    0.466775
          39    0.466776
          40    0.466783
          41    0.466733
          42    0.466715
          43    0.466756
          44    0.466757
          45    0.466735
          46    0.466742
          47    0.466778
          48     0.46683
          49    0.466798
          50    0.466783
