#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.66657     1.66657           0
           2     1.66156     1.66406  0.00176934
           3     1.70834     1.67882   0.0121091
           4     1.73381     1.69257   0.0149736
           5     1.72728     1.69951   0.0134923
           6     1.64624     1.69063   0.0138605
           7     1.65093     1.68496   0.0129893
           8     1.66418     1.68236   0.0116225
           9     1.65814     1.67967   0.0106382
          10     1.67387     1.67909  0.00959025
          11     1.69115     1.68019  0.00878082
          12      1.7093     1.68261  0.00837762
          13     1.66761     1.68146   0.0078123
          14     1.70034     1.68281  0.00736981
          15     1.67247     1.68212  0.00691067
          16     1.67086     1.68142  0.00651445
          17     1.66344     1.68036   0.0062165
          18     1.65841     1.67914  0.00598954
          19     1.70673     1.68059  0.00584768
          20     1.74062     1.68359  0.00627839
          21     1.69624     1.68419  0.00600825
          22     1.72942     1.68625  0.00607669
          23     1.68366     1.68614  0.00581352
          24     1.63814     1.68414  0.00590531
          25     1.70938     1.68515   0.0057548
          26     1.67785     1.68487  0.00554029
          27     1.67976     1.68468  0.00533832
          28     1.69766     1.68514  0.00516777
          29     1.71747     1.68626  0.00510837
          30     1.69463     1.68654   0.0049457
          31     1.71346      1.6874   0.0048618
          32     1.69258     1.68757  0.00471256
          33     1.70489     1.68809  0.00459889
          34     1.71517     1.68889  0.00453206
          35     1.68175     1.68868  0.00440716
          36     1.72585     1.68972  0.00440398
          37     1.76193     1.69167  0.00469759
          38     1.69442     1.69174  0.00457453
          39     1.68717     1.69162  0.00445873
          40     1.67863      1.6913  0.00435907
          41     1.70481     1.69163  0.00426519
          42     1.63955     1.69039   0.0043401
          43       1.725     1.69119  0.00431316
          44     1.68452     1.69104   0.0042178
          45     1.66263     1.69041  0.00417106
          46     1.73722     1.69143  0.00420268
          47     1.72483     1.69214  0.00417294
          48     1.69726     1.69224  0.00408737
          49     1.65969     1.69158  0.00405758
          50     1.74435     1.69264  0.00411141
