#   N_BLOCK:  ACCEPTANCE:
           1    0.494991
           2    0.495847
           3    0.495727
           4     0.49534
           5    0.495409
           6    0.495768
           7    0.495683
           8    0.495773
           9    0.495796
          10    0.495761
          11    0.495763
          12    0.495598
          13    0.495648
          14    0.495701
          15    0.495725
          16    0.495624
          17    0.495714
          18    0.495656
          19    0.495539
          20    0.495543
          21     0.49552
          22    0.495501
          23    0.495535
          24    0.495569
          25    0.495615
          26    0.495613
          27    0.495668
          28    0.495613
          29    0.495528
          30    0.495554
          31    0.495513
          32     0.49554
          33    0.495507
          34    0.495507
          35    0.495481
          36    0.495433
          37     0.49539
          38    0.495375
          39    0.495379
          40    0.495368
          41    0.495335
          42    0.495327
          43    0.495331
          44     0.49534
          45    0.495347
          46    0.495361
          47    0.495364
          48    0.495397
          49    0.495375
          50    0.495365
