#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.36791     0.36791           0
           2    0.370743    0.369327  0.00100147
           3    0.369932    0.369528 0.000687684
           4    0.375775     0.37109  0.00144742
           5    0.374128    0.371698  0.00127915
           6    0.378753    0.372874  0.00151276
           7    0.369434    0.372382  0.00137415
           8    0.374264    0.372617  0.00122235
           9    0.376243     0.37302  0.00115101
          10    0.370001    0.372718  0.00107478
          11    0.370951    0.372558 0.000989012
          12    0.357915    0.371337  0.00147878
          13    0.373015    0.371467  0.00137065
          14    0.374159    0.371659  0.00128617
          15    0.373441    0.371778   0.0012059
          16    0.370574    0.371702  0.00113287
          17    0.371956    0.371717  0.00106633
          18    0.367536    0.371485  0.00103208
          19     0.37432    0.371634 0.000988491
          20    0.371243    0.371615  0.00093926
          21    0.379178    0.371975 0.000961099
          22    0.370859    0.371924 0.000918751
          23    0.382354    0.372378  0.00098437
          24    0.365032    0.372072 0.000989791
          25    0.365908    0.371825 0.000980428
          26    0.377375    0.372038 0.000965675
          27    0.362029    0.371668 0.000998543
          28    0.371671    0.371668 0.000962881
          29    0.357788    0.371189  0.00104187
          30    0.369271    0.371125   0.0010091
          31    0.375718    0.371273  0.00098736
          32     0.36971    0.371225 0.000957712
          33    0.370394    0.371199 0.000929021
          34    0.364266    0.370995 0.000923805
          35    0.361969    0.370738 0.000932715
          36    0.376519    0.370898  0.00092053
          37    0.366995    0.370793 0.000901677
          38    0.378496    0.370995 0.000900448
          39    0.373438    0.371058 0.000879535
          40    0.367334    0.370965  0.00086246
          41    0.369971    0.370941 0.000841765
          42    0.377268    0.371091 0.000835097
          43    0.365119    0.370952 0.000827146
          44    0.378261    0.371119 0.000824857
          45    0.362806    0.370934 0.000826951
          46    0.362915     0.37076 0.000827143
          47    0.381016    0.370978 0.000837835
          48    0.363577    0.370824 0.000834446
          49    0.367897    0.370764 0.000819551
          50    0.372987    0.370808 0.000804365
