#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.849628   -0.849628           0
           2   -0.847228   -0.848428 0.000848528
           3   -0.848368   -0.848408 0.000565921
           4   -0.851868   -0.849273 0.000860999
           5     -0.8508   -0.849578 0.000740985
           6   -0.852244   -0.850023 0.000738762
           7   -0.849612   -0.849964 0.000635549
           8    -0.84774   -0.849686 0.000613903
           9   -0.846664    -0.84935 0.000630871
          10   -0.848828   -0.849298 0.000569942
          11   -0.849968   -0.849359 0.000521373
          12   -0.847636   -0.849215 0.000497302
          13   -0.848832   -0.849186 0.000459921
          14   -0.846132   -0.848968 0.000475995
          15   -0.847684   -0.848882  0.00045189
          16   -0.850452    -0.84898 0.000434168
          17   -0.847692   -0.848904 0.000415189
          18   -0.851948   -0.849074 0.000425161
          19   -0.849008    -0.84907 0.000402798
          20   -0.849552   -0.849094 0.000383378
          21     -0.8466   -0.848975 0.000383078
          22   -0.845384   -0.848812 0.000398936
          23   -0.844652   -0.848631 0.000420601
          24   -0.846548   -0.848545 0.000411936
          25   -0.849576   -0.848586  0.00039752
          26   -0.847404    -0.84854  0.00038482
          27   -0.849368   -0.848571 0.000371787
          28   -0.847992    -0.84855 0.000359083
          29    -0.84766    -0.84852 0.000348011
          30   -0.849056   -0.848537  0.00033687
          31   -0.847228   -0.848495  0.00032864
          32   -0.846744   -0.848441 0.000322895
          33   -0.846744   -0.848389 0.000317176
          34   -0.846656   -0.848338 0.000311917
          35   -0.849936   -0.848384 0.000306328
          36   -0.846732   -0.848338 0.000301235
          37   -0.850472   -0.848396 0.000298564
          38   -0.849852   -0.848434 0.000293157
          39   -0.849064    -0.84845 0.000286085
          40   -0.848044    -0.84844 0.000279113
          41   -0.848572   -0.848443 0.000272324
          42   -0.846312   -0.848392 0.000270526
          43   -0.844112   -0.848293 0.000281955
          44   -0.846584   -0.848254 0.000278209
          45   -0.844332   -0.848167 0.000285352
          46   -0.851336   -0.848236 0.000287345
          47   -0.847532   -0.848221 0.000281621
          48   -0.850916   -0.848277 0.000281296
          49   -0.847756   -0.848266 0.000275756
          50   -0.848088   -0.848263 0.000270264
