#   N_BLOCK:  ACCEPTANCE:
           1    0.150921
           2    0.151919
           3    0.151946
           4    0.151015
           5    0.150589
           6    0.150147
           7    0.150241
           8    0.150542
           9    0.150823
          10    0.150885
          11    0.150835
          12    0.150913
          13    0.150894
          14    0.151109
          15    0.151187
          16    0.151052
          17    0.151105
          18    0.150926
          19     0.15091
          20    0.150877
          21    0.150987
          22    0.151158
          23    0.151329
          24    0.151427
          25    0.151385
          26    0.151444
          27    0.151392
          28    0.151452
          29    0.151469
          30    0.151456
          31    0.151484
          32    0.151535
          33    0.151592
          34    0.151608
          35    0.151575
          36    0.151618
          37    0.151572
          38    0.151543
          39    0.151531
          40    0.151542
          41    0.151567
          42     0.15162
          43    0.151715
          44    0.151765
          45     0.15184
          46    0.151768
          47    0.151793
          48     0.15175
          49    0.151752
          50     0.15176
