#   N_BLOCK:  ACCEPTANCE:
           1    0.195321
           2     0.19547
           3    0.195148
           4    0.195282
           5    0.195435
           6    0.195175
           7    0.195172
           8    0.195305
           9    0.195428
          10    0.195283
          11    0.195517
          12    0.195292
          13    0.195088
          14    0.195132
          15    0.195149
          16    0.195077
          17    0.195181
          18    0.195212
          19     0.19514
          20    0.195154
          21    0.195243
          22    0.195163
          23    0.195296
          24    0.195333
          25    0.195281
          26    0.195285
          27    0.195322
          28    0.195304
          29    0.195371
          30     0.19539
          31    0.195422
          32    0.195397
          33    0.195449
          34    0.195499
          35    0.195572
          36    0.195546
          37    0.195532
          38    0.195512
          39    0.195528
          40    0.195569
          41    0.195507
          42    0.195595
          43    0.195675
          44    0.195688
          45    0.195731
          46    0.195644
          47    0.195684
          48    0.195691
          49    0.195677
          50    0.195657
