#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.441533    0.441533           0
           2    0.445278    0.443405  0.00132402
           3    0.440311    0.442374  0.00121996
           4    0.441126    0.442062 0.000954003
           5    0.447901     0.44323  0.00129358
           6    0.439699    0.442641  0.00120443
           7    0.415686     0.43879  0.00371161
           8    0.438671    0.438776  0.00324769
           9    0.445144    0.439483  0.00296293
          10    0.426901    0.438225  0.00292162
          11    0.457649    0.439991  0.00314468
          12    0.418032    0.438161  0.00337327
          13    0.432975    0.437762  0.00313729
          14    0.444819    0.438266  0.00295341
          15    0.429163    0.437659  0.00281818
          16    0.438527    0.437713  0.00264256
          17    0.435535    0.437585  0.00249022
          18    0.451982    0.438385    0.002477
          19    0.436551    0.438288  0.00234851
          20    0.444788    0.438613  0.00225346
          21     0.43184    0.438291  0.00216911
          22     0.44218    0.438468  0.00207771
          23    0.439744    0.438523  0.00198811
          24    0.433041    0.438295  0.00191835
          25    0.434017    0.438124  0.00184923
          26    0.435739    0.438032  0.00178038
          27    0.448719    0.438428  0.00175789
          28    0.420492    0.437787  0.00180805
          29    0.447863    0.438135  0.00177878
          30    0.441756    0.438255  0.00172358
          31     0.44126    0.438352   0.0016707
          32    0.435393     0.43826  0.00162105
          33    0.444297    0.438443  0.00158222
          34    0.446012    0.438665  0.00155126
          35    0.429186    0.438394   0.0015304
          36    0.447006    0.438634  0.00150647
          37    0.428738    0.438366   0.0014893
          38    0.440446    0.438421  0.00145112
          39    0.439845    0.438458  0.00141437
          40    0.435664    0.438388  0.00138073
          41    0.439184    0.438407  0.00134719
          42    0.429645    0.438198  0.00133117
          43    0.450072    0.438475  0.00132855
          44    0.442064    0.438556  0.00130085
          45    0.448815    0.438784  0.00129177
          46    0.420621    0.438389  0.00132266
          47     0.42328    0.438068  0.00133301
          48    0.414092    0.437568  0.00139569
          49    0.438984    0.437597  0.00136751
          50    0.434835    0.437542  0.00134128
